gene_name,Accession,Description,logFC,pvalue,AveExpr,Control_abundance,Penta_abundance,hit_annotation,LipidProbe
SMARCC1,AAH50564.1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [OS=Homo sapiens]",0.48,0.539028233,20.60002092987947,1453383.649,1725350.495,no hit,bf-GPI
hFEM-2 [Homo sapiens],AAL15579.1,hFEM-2 [OS=Homo sapiens],0.48,0.77713808,17.33897390724936,138297.2455,193277.3403,no hit,bf-GPI
NUDT2,NP_001152.1,NUDT2 gene product [OS=Homo sapiens],0.48,0.671773434,19.884116525048306,807767.4819,1127520.087,no hit,bf-GPI
BAG35970.1,BAG35970.1,unnamed protein product [OS=Homo sapiens],0.48,0.734987865,19.597579998160175,619459.1394,967221.1164,no hit,bf-GPI
drim,CAA07243.1,DRIM protein [OS=Homo sapiens],0.48,0.657909731,20.091542052300923,894078.6006,1340454.604,no hit,bf-GPI
proteasome subunit Y [Homo sapiens],BAA06098.1,proteasome subunit Y [OS=Homo sapiens],0.48,0.245331803,22.745929310522733,6645454.468,7422695.762,no hit,bf-GPI
BAH13340.1,BAH13340.1,unnamed protein product [OS=Homo sapiens],0.48,0.642569154,19.998064782839887,907195.7025,1187145.084,no hit,bf-GPI
DKFZp781H1753,CAH18271.1,Hypothetical protein [OS=Homo sapiens],0.48,0.352053727,22.18323667126371,4362039.791,5162623.563,no hit,bf-GPI
SF3A1,NP_005868.1,splicing factor 3A subunit 1 [OS=Homo sapiens],0.48,0.108457655,23.525168454200625,10106584.5,14037533.97,no hit,bf-GPI
TTC38,Q5R3I4.1,RecName: Full=Tetratricopeptide repeat protein 38; Short=TPR repeat protein 38 [OS=Homo sapiens],0.48,0.512327893,21.664082700933378,2760616.195,3885512.049,no hit,bf-GPI
LDAH,XP_011531316.1,PREDICTED: lipid droplet-associated hydrolase isoform X1 [OS=Homo sapiens],0.47,0.788087856,18.172289432346933,282444.091,308347.3633,no hit,bf-GPI
coactivator activator [Homo sapiens],AAK77961.1,Coactivator activator [OS=Homo sapiens],0.47,0.290143901,22.490539176174757,5449551.327,6336190.037,no hit,bf-GPI
citrate synthase [Homo sapiens],AAQ13428.1,citrate synthase [OS=Homo sapiens],0.47,0.059656539,26.512536517468597,76185871.72,115283251.5,no hit,bf-GPI
BAF82120.1,BAF82120.1,unnamed protein product [OS=Homo sapiens],0.47,0.45532918,21.828403616362053,3522701.219,3925205.722,no hit,bf-GPI
AP3M1,NP_036227.1,AP-3 complex subunit mu-1 isoform a [OS=Homo sapiens],0.47,0.528775216,21.622731458930478,2691068.802,3767268.941,no hit,bf-GPI
CTPS2,XP_011543847.1,PREDICTED: CTP synthase 2 isoform X1 [OS=Homo sapiens],0.47,0.061957415,26.105684121269917,60791036.43,83627843.86,no hit,bf-GPI
CROCC,Q5TZA2.1,RecName: Full=Rootletin; AltName: Full=Ciliary rootlet coiled-coil protein [OS=Homo sapiens],0.47,0.776560952,18.850863519058684,396973.6094,548621.8085,no hit,bf-GPI
aspartate aminotransferase precursor (2.6.1.1) [Homo sapiens],AAA35568.1,aspartate aminotransferase precursor [OS=Homo sapiens],0.47,0.062033445,25.526510269266424,41525729.06,55140610,no hit,bf-GPI
"lactamase, beta 2 variant, partial [Homo sapiens]",BAD96419.1,"lactamase, beta 2 variant, partial [OS=Homo sapiens]",0.47,0.748937538,19.59115849890497,616163.1287,963470.4375,no hit,bf-GPI
EHBP1L1,XP_006718549.1,PREDICTED: EH domain-binding protein 1-like protein 1 isoform X1 [OS=Homo sapiens],0.46,0.779576922,18.79372863812593,364759.514,544119.4381,no hit,bf-GPI
CYP51A1,Q16850.3,RecName: Full=Lanosterol 14-alpha demethylase; Short=LDM; AltName: Full=CYPLI; AltName: Full=Cytochrome P450 51A1; AltName: Full=Cytochrome P450-14DM; Short=Cytochrome P45014DM; AltName: Full=Cytochrome P450LI; AltName: Full=Sterol 14-alpha demethylase [OS=Homo sapiens],0.46,0.76309742,19.543288352890585,92278.69114,1435801,no hit,bf-GPI
BAB71043.1,BAB71043.1,unnamed protein product [OS=Homo sapiens],0.46,0.539028233,21.645635736435963,2751754.3,3809934.473,no hit,bf-GPI
METTL3,AAH52244.1,Methyltransferase like 3 [OS=Homo sapiens],0.46,0.691384321,19.757899748239108,597749.2611,1175421.132,no hit,bf-GPI
PPA2,AAG36781.1,Inorganic pyrophosphatase 2 [OS=Homo sapiens],0.46,0.159027342,23.35670757991056,9300367.657,12182862.3,no hit,bf-GPI
API5,XP_006718422.1,PREDICTED: apoptosis inhibitor 5 isoform X1 [OS=Homo sapiens],0.46,0.130079471,23.507316212219646,8252983.568,15594210.89,no hit,bf-GPI
SCCPDH,AAH26185.1,saccharopine dehydrogenase (putative) [OS=Homo sapiens],0.46,0.36405469,22.244101153464225,3564059.774,6371027.11,no hit,bf-GPI
GAA,EAW89583.1,"glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II), isoform CRA_b, partial [OS=Homo sapiens]",0.46,0.812981036,16.588400868428206,82902.97086,114174.1628,no hit,bf-GPI
PFN2,EAW78851.1,"profilin 2, isoform CRA_b, partial [OS=Homo sapiens]",0.46,0.785571605,17.691096891370268,178044.3698,245189.8906,no hit,bf-GPI
"tumor protein p53 inducible protein 3 variant, partial [Homo sapiens]",BAD97102.1,"tumor protein p53 inducible protein 3 variant, partial [OS=Homo sapiens]",0.46,0.785571605,17.691096891370268,178044.3698,245189.8906,no hit,bf-GPI
PRPF4B,AAH34969.1,PRP4 pre-mRNA processing factor 4 homolog B (yeast) [OS=Homo sapiens],0.46,0.784378977,17.47176338845482,87514.53065,276027.6875,no hit,bf-GPI
BAF82993.1,BAF82993.1,unnamed protein product [OS=Homo sapiens],0.46,0.466163919,21.985446182482512,4675426.41,3628983.244,no hit,bf-GPI
MZT2B,XP_011510188.1,PREDICTED: mitotic-spindle organizing protein 2B isoform X1 [OS=Homo sapiens],0.46,0.766338457,19.337303690092327,557744.8866,767018.8811,no hit,bf-GPI
TESC,EAW98100.1,"tescalcin, isoform CRA_c [OS=Homo sapiens]",0.46,0.767811403,19.232298749224,338714.993,893052.6875,no hit,bf-GPI
CNP,NP_149124.3,"2',3'-cyclic-nucleotide 3'-phosphodiesterase isoform 1 [OS=Homo sapiens]",0.46,0.176110463,23.24728363488251,8965604.552,10948449.77,no hit,bf-GPI
PCNA,CAG38740.1,PCNA [OS=Homo sapiens],0.46,0.124866623,23.684313243081185,12340637.93,14619288.86,no hit,bf-GPI
CNN3,NP_001830.1,calponin-3 isoform 1 [OS=Homo sapiens],0.46,0.071080719,24.567195892513116,22732618.94,26983002.07,no hit,bf-GPI
ARHGEF17,NP_055601.2,Rho guanine nucleotide exchange factor 17 [OS=Homo sapiens],0.46,0.795681056,18.109064541913074,238377.3076,327082.3374,no hit,bf-GPI
AP3S1,EAW48952.1,"adaptor-related protein complex 3, sigma 1 subunit, isoform CRA_a [OS=Homo sapiens]",0.46,0.558508719,20.801971326626884,1723106.151,1933240.25,no hit,bf-GPI
ACSL4,NP_075266.1,long-chain-fatty-acid--CoA ligase 4 isoform 2 [OS=Homo sapiens],0.46,0.779783503,18.870631791018948,393763.8233,564877.6238,no hit,bf-GPI
CNTNAP1,EAW60869.1,"contactin associated protein 1, isoform CRA_b [OS=Homo sapiens]",0.45,0.699613595,19.9100786887384,7602.982522,1962826.5,no hit,bf-GPI
WASF2,NP_008921.1,wiskott-Aldrich syndrome protein family member 2 isoform 1 [OS=Homo sapiens],0.45,0.61077769,20.436068406364388,1435376.818,1401886.083,no hit,bf-GPI
RIF1,AAT40745.1,RAP1 interacting factor 1 [OS=Homo sapiens],0.45,0.601837815,21.17715142493871,2300153.998,2442132.605,no hit,bf-GPI
"protein tyrosine phosphatase, non-receptor type 12 variant, partial [Homo sapiens]",BAD92761.1,"protein tyrosine phosphatase, non-receptor type 12 variant, partial [OS=Homo sapiens]",0.45,0.757197697,19.61589671110706,680442.9791,926510.4753,no hit,bf-GPI
SPOUT1,XP_016870293.1,PREDICTED: putative methyltransferase C9orf114 isoform X1 [OS=Homo sapiens],0.44,0.780074703,19.452205048104343,607702.3669,826885.6437,no hit,bf-GPI
FBXO21,NP_296373.1,F-box only protein 21 isoform 1 [OS=Homo sapiens],0.44,0.788854299,18.78756719887998,325684.536,579321.0672,no hit,bf-GPI
CCDC6,AAH64391.1,Coiled-coil domain containing 6 [OS=Homo sapiens],0.44,0.292938659,22.800798554891216,6995971.085,7617530.324,no hit,bf-GPI
TMTC3,Q6ZXV5.2,RecName: Full=Transmembrane and TPR repeat-containing protein 3; AltName: Full=Protein SMILE [OS=Homo sapiens],0.44,0.779255186,19.590813592393534,670419.4099,908836.5569,no hit,bf-GPI
NNMT,NP_006160.1,Nicotinamide N-methyltransferase [OS=Homo sapiens],0.44,0.843142314,15.49194252609192,29899.06846,62266.64453,no hit,bf-GPI
"fructose-1,6-bisphosphatase [Homo sapiens]",AAA35817.1,"fructose-1,6-bisphosphatase [OS=Homo sapiens]",0.44,0.788087856,19.04064542640114,458044.599,620493.2884,no hit,bf-GPI
CALU,NP_001186601.1,calumenin isoform d precursor [OS=Homo sapiens],0.44,0.393846564,22.26788279839358,4289487.037,5810728.878,no hit,bf-GPI
BAG35276.1,BAG35276.1,unnamed protein product [OS=Homo sapiens],0.43,0.743065275,19.709799351193777,729334.2719,985692.125,no hit,bf-GPI
SMCHD1,XP_011523944.1,PREDICTED: structural maintenance of chromosomes flexible hinge domain-containing protein 1 isoform X1 [OS=Homo sapiens],0.43,0.605696735,21.066618187418854,2187295.132,2205227.191,no hit,bf-GPI
SON,P18583.4,RecName: Full=Protein SON; AltName: Full=Bax antagonist selected in saccharomyces 1; Short=BASS1; AltName: Full=Negative regulatory element-binding protein; Short=NRE-binding protein; AltName: Full=Protein DBP-5; AltName: Full=SON3 [OS=Homo sapiens],0.43,0.600763224,20.769390199609646,1514508.454,2060190.205,no hit,bf-GPI
"crystallin, zeta variant, partial [Homo sapiens]",BAD92951.1,"crystallin, zeta variant, partial [OS=Homo sapiens]",0.43,0.258228556,23.13548259023698,7508517.101,10920586.84,no hit,bf-GPI
p300 protein [Homo sapiens],AAA18639.1,p300 protein [OS=Homo sapiens],0.43,0.815348588,16.99697908431519,111321.5598,150274.1009,no hit,bf-GPI
DUS3L,AAH09973.1,Dihydrouridine synthase 3-like (S. cerevisiae) [OS=Homo sapiens],0.43,0.788087856,19.396778536439335,587952.1329,792566.1239,no hit,bf-GPI
EEF1E1,NP_004271.1,eukaryotic translation elongation factor 1 epsilon-1 isoform 1 [OS=Homo sapiens],0.43,0.607144107,20.978347007329123,1760042.041,2371780.916,no hit,bf-GPI
GTF3C5,XP_005272291.1,PREDICTED: general transcription factor 3C polypeptide 5 isoform X1 [OS=Homo sapiens],0.43,0.830835058,16.148629125707863,61900.07978,83395.28223,no hit,bf-GPI
PNPLA4,AAH20746.1,Patatin-like phospholipase domain containing 4 [OS=Homo sapiens],0.43,0.7968832,18.53011153536145,354767.6276,402325.6514,no hit,bf-GPI
ENAH,XP_016857237.1,PREDICTED: protein enabled homolog isoform X4 [OS=Homo sapiens],0.43,0.608921762,21.519487808751915,2409949.832,3602359.508,no hit,bf-GPI
SYDE1,NP_149014.3,rho GTPase-activating protein SYDE1 isoform 1 [OS=Homo sapiens],0.43,0.806709836,18.34739420259563,286572.3406,380458.6208,no hit,bf-GPI
FHL1,XP_006724806.1,PREDICTED: four and a half LIM domains protein 1 isoform X1 [OS=Homo sapiens],0.43,0.67879472,20.257571712505378,1246265.952,1260805.551,no hit,bf-GPI
beta-tubulin cofactor D [Homo sapiens],CAA07022.1,beta-tubulin cofactor d [OS=Homo sapiens],0.43,0.492000132,22.150311805042225,3832762.974,5476992.246,no hit,bf-GPI
TEAD4,ALQ33814.1,"TEA domain family member 4 isoform 3, partial [OS=Homo sapiens]",0.43,0.806709836,18.777074676396484,396263.1762,502184.3228,no hit,bf-GPI
BAG35376.1,BAG35376.1,unnamed protein product [OS=Homo sapiens],0.43,0.288939884,22.965976110195946,6039248.896,10346929.72,no hit,bf-GPI
NFIB,XP_005251524.1,PREDICTED: nuclear factor 1 B-type isoform X1 [OS=Homo sapiens],0.42,0.812033714,17.337105044176983,135389.3694,195755.9737,no hit,bf-GPI
ACAP2,XP_016861535.1,"PREDICTED: arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 isoform X1 [OS=Homo sapiens]",0.42,0.829633943,16.88416801621643,103375.8331,138543.7472,no hit,bf-GPI
CYB5B,O43169.2,RecName: Full=Cytochrome b5 type B; AltName: Full=Cytochrome b5 outer mitochondrial membrane isoform; Flags: Precursor [OS=Homo sapiens],0.42,0.175605187,23.45326085621668,12604143.15,10366069.17,no hit,bf-GPI
ADH4,XP_016863202.1,PREDICTED: alcohol dehydrogenase 4 isoform X1 [OS=Homo sapiens],0.42,0.634686317,21.16041486910413,74521.55794,4613068.149,no hit,bf-GPI
RPL9,EAW92926.1,"ribosomal protein L9, isoform CRA_a [OS=Homo sapiens]",0.42,0.118343687,24.159168773776152,16534643.34,20933697.9,no hit,bf-GPI
ORC2,XP_011509554.1,PREDICTED: origin recognition complex subunit 2 isoform X1 [OS=Homo sapiens],0.42,0.672220111,20.490188039918408,1298648.36,1647069.938,no hit,bf-GPI
"hCG2024613, isoform CRA_b [Homo sapiens]",EAW54485.1,"hCG2024613, isoform CRA_b [OS=Homo sapiens]",0.42,0.792308229,19.37494097260587,661581.925,698197.2718,no hit,bf-GPI
PEX14,EAW71660.1,"peroxisomal biogenesis factor 14, isoform CRA_b, partial [OS=Homo sapiens]",0.42,0.588405073,21.31684019026261,2237158.165,2987264.51,no hit,bf-GPI
TNRC5,EAX04120.1,"trinucleotide repeat containing 5, isoform CRA_i [OS=Homo sapiens]",0.42,0.825286854,16.957932240146874,109065.3015,145545.1719,no hit,bf-GPI
HLA-B,CBW44088.1,"MHC class I antigen, partial [OS=Homo sapiens]",0.42,0.558508719,21.79688483155902,3127307.562,4159648.351,no hit,bf-GPI
Nbla10058,BAE45763.1,putative protein product of Nbla10058 [OS=Homo sapiens],0.41,0.120007611,24.401165959174484,20265284.11,24045851.32,no hit,bf-GPI
SF1,NP_001171501.1,splicing factor 1 isoform 6 [OS=Homo sapiens],0.41,0.221265274,23.321272798816164,9476694.31,11485302.24,no hit,bf-GPI
PROCR,EAW76223.1,"protein C receptor, endothelial (EPCR), isoform CRA_a [OS=Homo sapiens]",0.41,0.46306691,22.24404439241455,4830957.383,5103738.625,no hit,bf-GPI
TYMP,AAH18160.1,thymidine phosphorylase [OS=Homo sapiens],0.41,0.488277596,22.17232018805199,3705982.194,5746882.591,no hit,bf-GPI
D-myo-inositol-3-phosphate synthase [Homo sapiens],AAP97151.1,D-myo-inositol-3-phosphate synthase [OS=Homo sapiens],0.41,0.654789677,20.58458744999645,1350686.576,1794223.75,no hit,bf-GPI
DDAH2,NP_039268.1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 [OS=Homo sapiens]",0.41,0.804604306,18.558619454319757,331661.9599,440540.4089,no hit,bf-GPI
CCNY,AAH69224.1,"CCNY protein, partial [OS=Homo sapiens]",0.41,0.634686317,21.5655881355811,2512402.267,3695128.755,no hit,bf-GPI
KIAA0547,BAA25473.3,KIAA0547 protein [OS=Homo sapiens],0.41,0.667262518,20.420709542291338,1787669.367,1019548.379,no hit,bf-GPI
MTX3,EAW95840.1,metaxin 3 [OS=Homo sapiens],0.41,0.819434655,17.112855068351603,121827.9088,161645.7327,no hit,bf-GPI
CRADD,AAH37905.1,Cradd protein [OS=Homo sapiens],0.41,0.811236509,19.2987632449915,554366.0388,735476.25,no hit,bf-GPI
UBE2Z,EAW94701.1,"ubiquitin-conjugating enzyme E2Z (putative), isoform CRA_a [OS=Homo sapiens]",0.41,0.813428063,18.95540094712029,437154.158,579502.3863,no hit,bf-GPI
NCAPH2,NP_001171940.1,Condensin-2 complex subunit H2 isoform 3 [OS=Homo sapiens],0.41,0.580094548,21.76255702752961,3059662.312,4055952.71,no hit,bf-GPI
METTL14,NP_066012.1,N6-adenosine-methyltransferase subunit METTL14 [OS=Homo sapiens],0.41,0.806709836,19.324031609237093,634112.0452,678520.4375,no hit,bf-GPI
BAG51793.1,BAG51793.1,unnamed protein product [OS=Homo sapiens],0.4,0.810545808,19.252116399205782,623683.5294,625121.134,no hit,bf-GPI
NEK6,NP_001138473.1,serine/threonine-protein kinase Nek6 isoform 1 [OS=Homo sapiens],0.4,0.658797446,20.654317169968017,1420813.452,1879832.972,no hit,bf-GPI
ALYREF,Q86V81.3,RecName: Full=THO complex subunit 4; Short=Tho4; AltName: Full=Ally of AML-1 and LEF-1; AltName: Full=Aly/REF export factor; AltName: Full=Transcriptional coactivator Aly/REF; AltName: Full=bZIP-enhancing factor BEF [OS=Homo sapiens],0.4,0.136783139,25.163524303726653,33665352.36,41497907.56,no hit,bf-GPI
DDX55,XP_016875199.1,PREDICTED: ATP-dependent RNA helicase DDX55 isoform X1 [OS=Homo sapiens],0.4,0.658797446,20.581079066723454,1313345.994,1823925.749,no hit,bf-GPI
AGAP3,Q96P47.2,"RecName: Full=Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3; Short=AGAP-3; AltName: Full=CRAM-associated GTPase; Short=CRAG; AltName: Full=Centaurin-gamma-3; Short=Cnt-g3; AltName: Full=MR1-interacting protein; Short=MRIP-1 [OS=Homo sapiens]",0.4,0.718336189,19.999963156374182,919872.1365,1177226.307,no hit,bf-GPI
TAF4,EAW75406.1,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa, isoform CRA_a [OS=Homo sapiens]",0.4,0.860174874,15.185696059176713,31295.2643,43243.12683,no hit,bf-GPI
chronic myelogenous leukemia tumor antigen 28 [Homo sapiens],AAM75154.1,chronic myelogenous leukemia tumor antigen 28 [OS=Homo sapiens],0.4,0.616315124,21.291872033655487,2430854.943,2703928.612,no hit,bf-GPI
"hCG1984214, isoform CRA_a [Homo sapiens]",EAX07962.1,"hCG1984214, isoform CRA_a [OS=Homo sapiens]",0.4,0.828690618,17.004907744206747,113578.0698,149459.2073,no hit,bf-GPI
S100A13,EAW53296.1,"S100 calcium binding protein A13, isoform CRA_a, partial [OS=Homo sapiens]",0.4,0.76309742,19.824847531891162,800668.1583,1056724.661,no hit,bf-GPI
CARS2,AAH07220.1,"Cysteinyl-tRNA synthetase 2, mitochondrial (putative) [OS=Homo sapiens]",0.4,0.660574371,20.57992480011492,1341329.995,1793432.694,no hit,bf-GPI
FPGS,AAH64393.1,folylpolyglutamate synthase [OS=Homo sapiens],0.4,0.657274108,20.780584331984098,1653845.559,1948697.721,no hit,bf-GPI
DCLK1,NP_001317000.1,serine/threonine-protein kinase DCLK1 isoform 5 [OS=Homo sapiens],0.4,0.820199887,18.951009129283566,437430.6736,576135.695,no hit,bf-GPI
KIAA1604,EAX10996.1,"KIAA1604 protein, isoform CRA_a [OS=Homo sapiens]",0.4,0.330864694,23.117986392913373,7858723.048,10348232.81,no hit,bf-GPI
KANK2,NP_056308.3,KN motif and ankyrin repeat domain-containing protein 2 isoform 1 [OS=Homo sapiens],0.4,0.506144211,22.191130590590525,5069375.36,4507546.438,no hit,bf-GPI
MSIN3A [Homo sapiens],AAP97288.1,MSIN3A [OS=Homo sapiens],0.4,0.476857603,22.28132319393293,5147693.632,5047057.303,no hit,bf-GPI
PAFAH1B2,XP_016873329.1,PREDICTED: platelet-activating factor acetylhydrolase IB subunit beta isoform X1 [OS=Homo sapiens],0.4,0.16156661,24.127435521543866,18132743.06,18520449.3,no hit,bf-GPI
FLJ11151,AAH06289.1,Hypothetical protein FLJ11151 [OS=Homo sapiens],0.4,0.713103578,20.324552448989643,1107825.351,1518387.555,no hit,bf-GPI
"solute carrier family 2 (facilitated glucose transporter), member 1 variant, partial [Homo sapiens]",BAD92224.1,"solute carrier family 2 (facilitated glucose transporter), member 1 variant, partial [OS=Homo sapiens]",0.39,0.806709836,19.59908576887867,920769.8684,667567.303,no hit,bf-GPI
JCL-1,AAD00728.1,hepatocellular carcinoma associated protein [OS=Homo sapiens],0.39,0.438755449,22.560522133880113,5626241.975,6745301.22,no hit,bf-GPI
AGL,EAW72986.1,"amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III), isoform CRA_e [OS=Homo sapiens]",0.39,0.205840109,23.442251200799365,9510600.111,13284986.52,no hit,bf-GPI
PARVA,Q9NVD7.1,RecName: Full=Alpha-parvin; AltName: Full=Actopaxin; AltName: Full=CH-ILKBP; AltName: Full=Calponin-like integrin-linked kinase-binding protein; AltName: Full=Matrix-remodeling-associated protein 2 [OS=Homo sapiens],0.39,0.453836221,22.338469987510926,3694441.582,6912239.703,no hit,bf-GPI
RANBP8 [Homo sapiens],AAB67052.1,RANBP8 [OS=Homo sapiens],0.39,0.620983623,21.320370851380666,2429094.503,2808129.391,no hit,bf-GPI
PRC1,O43663.2,RecName: Full=Protein regulator of cytokinesis 1 [OS=Homo sapiens],0.39,0.148574028,25.032512214318714,29388821.14,39249561.11,no hit,bf-GPI
MDC1,XP_005249549.1,PREDICTED: mediator of DNA damage checkpoint protein 1 isoform X1 [OS=Homo sapiens],0.39,0.67879472,20.758013306561512,1742022.821,1804597.118,no hit,bf-GPI
EXOSC3,NP_057126.2,exosome complex component RRP40 isoform 1 [OS=Homo sapiens],0.39,0.558943076,22.0740824907575,3821186.982,5009428.048,no hit,bf-GPI
EIF3S9,EAW87239.1,"eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa, isoform CRA_c, partial [OS=Homo sapiens]",0.39,0.152709139,24.397240775834952,19581426.31,24609314.35,no hit,bf-GPI
TROPH,AAQ15171.1,Polytrophin [OS=Homo sapiens],0.39,0.833857103,17.913033354767926,134820.9609,358796.3125,no hit,bf-GPI
SLC16A1,AAC41707.1,Monocarboxylate transporter 1 [OS=Homo sapiens],0.39,0.829633943,17.094890126746712,121293.0674,158672.5484,no hit,bf-GPI
prolyl 4-hydroxylase alpha subunit (EC 1.14.11.2) [Homo sapiens],AAA36534.1,Prolyl 4-hydroxylase alpha subunit [OS=Homo sapiens],0.39,0.607500578,21.7818342035395,3677807.564,3533523.791,no hit,bf-GPI
RELCH,NP_001333158.1,lisH domain and HEAT repeat-containing protein KIAA1468 isoform a [OS=Homo sapiens],0.39,0.788087856,19.8004581222319,794575.8106,1031680.873,no hit,bf-GPI
GPKOW,XP_016884904.1,PREDICTED: G patch domain and KOW motifs-containing protein isoform X1 [OS=Homo sapiens],0.39,0.548232526,22.155988838337684,4045616.715,5300844.747,no hit,bf-GPI
vacuolar ATPase isoform VA68 [Homo sapiens],AAF14870.1,vacuolar ATPase isoform VA68 [OS=Homo sapiens],0.38,0.161175553,24.745239436190385,23060587.76,33185110.91,no hit,bf-GPI
HPS5,AAO25962.1,HPS5 protein [OS=Homo sapiens],0.38,0.828690618,18.863463623673596,415430.6179,538459.5415,no hit,bf-GPI
HPHase [Homo sapiens],AAK14922.1,HPHase [OS=Homo sapiens],0.38,0.587311834,22.06486714254481,4455401.789,4318986.637,no hit,bf-GPI
CENPF,P49454.2,RecName: Full=Centromere protein F; Short=CENP-F; AltName: Full=AH antigen; AltName: Full=Kinetochore protein CENPF; AltName: Full=Mitosin; Flags: Precursor [OS=Homo sapiens],0.38,0.825586163,18.50015571889312,374375.0826,367160.1517,no hit,bf-GPI
TOP2A,AAA61209.1,DNA topoisomerase II [OS=Homo sapiens],0.38,0.184549193,23.993311169434936,13765965.73,19633256.46,no hit,bf-GPI
WD protein IR10 [Homo sapiens],AAB47807.1,WD protein IR10 [OS=Homo sapiens],0.38,0.828690618,18.829612191682155,404740.9775,527027.625,no hit,bf-GPI
STARD3NL,NP_114405.1,STARD3 N-terminal-like protein [OS=Homo sapiens],0.38,0.825586163,17.434496973732568,153938.9421,200332.8254,no hit,bf-GPI
RPRD1A,NP_060640.2,regulation of nuclear pre-mRNA domain-containing protein 1A isoform 1 [OS=Homo sapiens],0.38,0.822106312,19.4163497328759,608077.7068,791295.8775,no hit,bf-GPI
ZMPSTE24,AAH37283.1,"Zinc metallopeptidase (STE24 homolog, S. cerevisiae) [OS=Homo sapiens]",0.38,0.484557259,22.4270784279967,4855744.546,6422806.711,no hit,bf-GPI
HDAC2,AAH31055.2,"HDAC2 protein, partial [OS=Homo sapiens]",0.38,0.375552163,23.113955637502617,8716099.974,9440058.342,no hit,bf-GPI
RAP1B,NP_056461.1,ras-related protein Rap-1b isoform 1 precursor [OS=Homo sapiens],0.38,0.173844628,24.713279666663343,24892508.11,30120889.36,no hit,bf-GPI
TMEM48,EAX06732.1,"transmembrane protein 48, isoform CRA_b [OS=Homo sapiens]",0.38,0.848875364,16.92009090580981,135012.1945,113006.7687,no hit,bf-GPI
GSPT1,NP_002085.2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [OS=Homo sapiens],0.38,0.244930508,23.662546319226163,11918397.81,14637819.36,no hit,bf-GPI
PUF60,XP_011515231.1,PREDICTED: poly(U)-binding-splicing factor PUF60 isoform X1 [OS=Homo sapiens],0.38,0.176110463,25.432362859749883,40541682.85,50017829.88,no hit,bf-GPI
ACTR1B,AAH06372.1,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast) [OS=Homo sapiens]",0.38,0.67879472,20.790026167283727,1578610.932,2047586.806,no hit,bf-GPI
DKFZp781N0678,CAI45968.1,Hypothetical protein [OS=Homo sapiens],0.37,0.521036118,22.284473413305985,4484287.932,5732748.233,no hit,bf-GPI
HSPC121 [Homo sapiens],AAF29085.1,HSPC121 [OS=Homo sapiens],0.37,0.382928821,23.01280493376824,9045689.147,7881099.25,no hit,bf-GPI
TRMT61B,AAH00952.1,TRNA methyltransferase 61 homolog B (S. cerevisiae) [OS=Homo sapiens],0.37,0.859985902,16.886045744461352,105593.6999,136640.9539,no hit,bf-GPI
COMT,EAX03011.1,"catechol-O-methyltransferase, isoform CRA_b [OS=Homo sapiens]",0.37,0.692483859,20.954896234501817,1639898.266,2425305.491,no hit,bf-GPI
BAH13545.1,BAH13545.1,unnamed protein product [OS=Homo sapiens],0.37,0.176110463,29.01028828448389,504789503.7,576636858.2,no hit,bf-GPI
ABCE1,NP_002931.2,ATP-binding cassette sub-family E member 1 [OS=Homo sapiens],0.37,0.331077313,23.209207283244734,8869917.458,10525429.97,no hit,bf-GPI
ACIN1,Q9UKV3.2,RecName: Full=Apoptotic chromatin condensation inducer in the nucleus; Short=Acinus [OS=Homo sapiens],0.37,0.190368237,24.036025355340602,14712462.03,19690402.41,no hit,bf-GPI
DFFA,EAW71655.1,"DNA fragmentation factor, 45kDa, alpha polypeptide, isoform CRA_a [OS=Homo sapiens]",0.37,0.629472746,21.808945171773377,3095021.052,4253106.158,no hit,bf-GPI
MTX1,Q13505.2,RecName: Full=Metaxin-1; AltName: Full=Mitochondrial outer membrane import complex protein 1 [OS=Homo sapiens],0.37,0.658797446,21.29807107469951,2618901.164,2537993.244,no hit,bf-GPI
TBC1D13,AAI36510.1,"TBC1 domain family, member 13 [OS=Homo sapiens]",0.37,0.693218746,21.235447266083835,1664388.275,3273446.957,no hit,bf-GPI
vacuolar protein sorting homolog h-vps45 [Homo sapiens],AAC50931.1,vacuolar protein sorting homolog h-vps45 [OS=Homo sapiens],0.37,0.687995353,20.791830241264982,1558912.852,2071822.242,no hit,bf-GPI
BAG59232.1,BAG59232.1,unnamed protein product [OS=Homo sapiens],0.37,0.804807142,19.644601116302447,735247.6313,903998.5647,no hit,bf-GPI
PRRC2C,XP_005245072.1,PREDICTED: protein PRRC2C isoform X1 [OS=Homo sapiens],0.37,0.835438062,19.128212171553113,410702.067,735326.9732,no hit,bf-GPI
