Gene,Protein.ID,Protein.Description,logFC,AveExpr,comparison.label,sample,pvalue,hit_annotation
PEF1,Q9UBV8,Peflin,-0.3708719,19.18757056,PA_UV vs PA_NoUV,membrane,0.144469319,no hit
FKBP10,Q96AY3,Peptidyl-prolyl cis-trans isomerase FKBP10,0.394884941,22.95086542,PA_UV vs PA_NoUV,membrane,0.145317338,no hit
LMBRD1,Q9NUN5,Lysosomal cobalamin transport escort protein LMBD1,0.312207619,18.35254618,PA_UV vs PA_NoUV,membrane,0.146329183,no hit
TAOK1,Q7L7X3,Serine/threonine-protein kinase TAO1,-0.352987474,18.62259628,PA_UV vs PA_NoUV,membrane,0.146433463,no hit
CNOT1,A5YKK6,CCR4-NOT transcription complex subunit 1,-0.58193574,20.74959795,PA_UV vs PA_NoUV,membrane,0.146930699,no hit
HRAS,P01112,GTPase HRas,0.334882867,19.11730794,PA_UV vs PA_NoUV,membrane,0.147073038,no hit
METAP2,P50579,Methionine aminopeptidase 2,-0.703805463,19.73187351,PA_UV vs PA_NoUV,membrane,0.14759581,no hit
AP2S1,P53680,AP-2 complex subunit sigma,0.279694535,18.03522827,PA_UV vs PA_NoUV,membrane,0.147773652,no hit
ASPH,Q12797,Aspartyl/asparaginyl beta-hydroxylase,0.739886614,21.29020236,PA_UV vs PA_NoUV,membrane,0.14924579,no hit
SERPINH1,P50454,Serpin H1,0.720214266,23.15971977,PA_UV vs PA_NoUV,membrane,0.151138195,no hit
STT3B,Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,0.901042473,17.67731107,PA_UV vs PA_NoUV,membrane,0.151517027,no hit
NEGR1,Q7Z3B1,Neuronal growth regulator 1,0.250768529,20.85183714,PA_UV vs PA_NoUV,membrane,0.151904521,no hit
YBX1,P67809,Y-box-binding protein 1,-0.89670666,21.25605276,PA_UV vs PA_NoUV,membrane,0.15206587,no hit
DLG1,Q12959,Disks large homolog 1,0.251064982,19.22909833,PA_UV vs PA_NoUV,membrane,0.152530598,no hit
THOP1,P52888,Thimet oligopeptidase,-0.269512925,17.46276283,PA_UV vs PA_NoUV,membrane,0.152667085,no hit
P4HA1,P13674,Prolyl 4-hydroxylase subunit alpha-1,0.420946012,22.62230855,PA_UV vs PA_NoUV,membrane,0.152778689,no hit
CYBA,P13498,Cytochrome b-245 light chain,0.453419207,20.76696294,PA_UV vs PA_NoUV,membrane,0.153052492,no hit
IDH1,O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,-0.425318343,20.0305491,PA_UV vs PA_NoUV,membrane,0.153140054,no hit
PLP2,Q04941,Proteolipid protein 2,-0.404407661,18.34675807,PA_UV vs PA_NoUV,membrane,0.153692692,no hit
CD58,P19256,Lymphocyte function-associated antigen 3,0.276660601,19.58350672,PA_UV vs PA_NoUV,membrane,0.153825228,no hit
CAPN2,P17655,Calpain-2 catalytic subunit,-0.349806397,19.18452765,PA_UV vs PA_NoUV,membrane,0.153950565,no hit
ST13,P50502,Hsc70-interacting protein,-0.491521942,20.25841761,PA_UV vs PA_NoUV,membrane,0.15421045,no hit
SLC2A1,P11166,"Solute carrier family 2, facilitated glucose transporter member 1",0.326133511,23.23071939,PA_UV vs PA_NoUV,membrane,0.154977775,no hit
GOLT1B,Q9Y3E0,Vesicle transport protein GOT1B,-0.347293675,20.66837266,PA_UV vs PA_NoUV,membrane,0.155172867,no hit
PTPN1,P18031,Tyrosine-protein phosphatase non-receptor type 1,0.530317638,17.56707535,PA_UV vs PA_NoUV,membrane,0.155195222,no hit
NRDC,O43847,Nardilysin,-0.266076335,17.60520901,PA_UV vs PA_NoUV,membrane,0.155869664,no hit
KIF23,Q02241,Kinesin-like protein KIF23,0.86771193,20.97735155,PA_UV vs PA_NoUV,membrane,0.156001487,no hit
FXR1,P51114,RNA-binding protein FXR1,-0.703950962,20.78111201,PA_UV vs PA_NoUV,membrane,0.156941784,no hit
SLC6A9,P48067,Sodium- and chloride-dependent glycine transporter 1,0.25812945,20.54895327,PA_UV vs PA_NoUV,membrane,0.157331159,no hit
ITGB1,P05556,Integrin beta-1,0.565090106,24.80502514,PA_UV vs PA_NoUV,membrane,0.158283719,no hit
PLOD1,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.298904823,18.89352367,PA_UV vs PA_NoUV,membrane,0.158517906,no hit
DNAJB11,Q9UBS4,DnaJ homolog subfamily B member 11,0.698758686,19.2515392,PA_UV vs PA_NoUV,membrane,0.158802192,no hit
NPTN,Q9Y639,Neuroplastin,0.610968101,21.81182448,PA_UV vs PA_NoUV,membrane,0.158877318,no hit
PPP1R18,Q6NYC8,Phostensin,0.377460257,17.76532683,PA_UV vs PA_NoUV,membrane,0.160282815,no hit
HNRNPA2B1,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,-0.284184446,21.30799433,PA_UV vs PA_NoUV,membrane,0.160678455,no hit
TECR,Q9NZ01,Very-long-chain enoyl-CoA reductase,0.578844758,20.61659578,PA_UV vs PA_NoUV,membrane,0.160771091,no hit
KDSR,Q06136,3-ketodihydrosphingosine reductase,0.328561034,21.4578221,PA_UV vs PA_NoUV,membrane,0.160851377,no hit
RACGAP1,Q9H0H5,Rac GTPase-activating protein 1,0.80015769,20.87486025,PA_UV vs PA_NoUV,membrane,0.161871388,no hit
HPRT1,P00492,Hypoxanthine-guanine phosphoribosyltransferase,-0.637532032,18.6784286,PA_UV vs PA_NoUV,membrane,0.162172769,no hit
LYN,P07948,Tyrosine-protein kinase Lyn,0.526243065,19.07684168,PA_UV vs PA_NoUV,membrane,0.162754435,no hit
ARPC3,O15145,Actin-related protein 2/3 complex subunit 3,0.272987561,20.33981322,PA_UV vs PA_NoUV,membrane,0.163584798,no hit
XPO1,O14980,Exportin-1,-0.377151022,21.41333699,PA_UV vs PA_NoUV,membrane,0.165562088,no hit
CFL1,P23528,Cofilin-1,0.357873837,23.43714274,PA_UV vs PA_NoUV,membrane,0.167197831,no hit
LSS,P48449,Lanosterol synthase,0.210106174,20.5455377,PA_UV vs PA_NoUV,membrane,0.168720816,no hit
TXNL1,O43396,Thioredoxin-like protein 1,-0.456200824,19.07641128,PA_UV vs PA_NoUV,membrane,0.168810804,no hit
CMPK1,P30085,UMP-CMP kinase,-0.458226907,19.65386179,PA_UV vs PA_NoUV,membrane,0.169047644,no hit
SEPTIN10,Q9P0V9,Septin-10,-0.653064978,20.00361216,PA_UV vs PA_NoUV,membrane,0.169742179,no hit
CERS2,Q96G23,Ceramide synthase 2,0.344956562,19.52845186,PA_UV vs PA_NoUV,membrane,0.169851677,no hit
MIA3,Q5JRA6,Transport and Golgi organization protein 1 homolog,0.665683222,16.94988849,PA_UV vs PA_NoUV,membrane,0.170911258,no hit
TXLNG,Q9NUQ3,Gamma-taxilin,-0.577832287,20.8834541,PA_UV vs PA_NoUV,membrane,0.17123897,no hit
ESYT1,Q9BSJ8,Extended synaptotagmin-1,0.484022334,20.97716176,PA_UV vs PA_NoUV,membrane,0.17150143,no hit
TSPAN8,P19075,Tetraspanin-8,0.781685954,19.99545087,PA_UV vs PA_NoUV,membrane,0.17164656,no hit
RAP1B,P61224,Ras-related protein Rap-1b,0.321145717,24.04002261,PA_UV vs PA_NoUV,membrane,0.171783997,no hit
CRELD1,Q96HD1,Protein disulfide isomerase CRELD1,0.261276934,18.99428676,PA_UV vs PA_NoUV,membrane,0.17225059,no hit
NIT2,Q9NQR4,Omega-amidase NIT2,-0.29603631,18.52010501,PA_UV vs PA_NoUV,membrane,0.173028293,no hit
MGST1,P10620,Microsomal glutathione S-transferase 1,0.484738443,21.43340999,PA_UV vs PA_NoUV,membrane,0.173308329,no hit
PAFAH1B1,P43034,Platelet-activating factor acetylhydrolase IB subunit beta,-0.642753988,19.05741031,PA_UV vs PA_NoUV,membrane,0.1734674,no hit
RPA1,P27694,Replication protein A 70 kDa DNA-binding subunit,-0.262158267,19.24452931,PA_UV vs PA_NoUV,membrane,0.173512532,no hit
HPCAL1,P37235,Hippocalcin-like protein 1,-0.49626815,21.5014862,PA_UV vs PA_NoUV,membrane,0.17466919,no hit
GSPT1,P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,-0.515423252,20.89527198,PA_UV vs PA_NoUV,membrane,0.174977472,no hit
NNT,Q13423,"NAD(P) transhydrogenase, mitochondrial",0.427617328,17.50107296,PA_UV vs PA_NoUV,membrane,0.175013095,no hit
NUP210,Q8TEM1,Nuclear pore membrane glycoprotein 210,0.312570587,17.54822019,PA_UV vs PA_NoUV,membrane,0.175872386,no hit
PALS2,Q9NZW5,Protein PALS2,0.352826944,20.16170953,PA_UV vs PA_NoUV,membrane,0.175998177,no hit
PSMB2,P49721,Proteasome subunit beta type-2,-0.371381642,20.64840589,PA_UV vs PA_NoUV,membrane,0.176216858,no hit
ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,-0.654996222,22.09361721,PA_UV vs PA_NoUV,membrane,0.176639218,no hit
NASP,P49321,Nuclear autoantigenic sperm protein,-0.388005566,22.02833914,PA_UV vs PA_NoUV,membrane,0.177069451,no hit
ADK,P55263,Adenosine kinase,-0.336607207,18.96157813,PA_UV vs PA_NoUV,membrane,0.178893816,no hit
MYO1B,O43795,Unconventional myosin-Ib,0.671941152,20.98499295,PA_UV vs PA_NoUV,membrane,0.179071349,no hit
COX5A,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",0.590266485,18.99378633,PA_UV vs PA_NoUV,membrane,0.179083759,no hit
CYC1,P08574,"Cytochrome c1, heme protein, mitochondrial",0.460735728,18.89709524,PA_UV vs PA_NoUV,membrane,0.179434016,no hit
RPLP0,P05388,60S acidic ribosomal protein P0,-0.667674067,22.30264549,PA_UV vs PA_NoUV,membrane,0.17979139,no hit
GEMIN5,Q8TEQ6,Gem-associated protein 5,-0.587955816,20.85778129,PA_UV vs PA_NoUV,membrane,0.180367813,no hit
MARCKS,P29966,Myristoylated alanine-rich C-kinase substrate,0.557573651,19.77903547,PA_UV vs PA_NoUV,membrane,0.180689856,no hit
EIF5,P55010,Eukaryotic translation initiation factor 5,-0.489000113,19.22066273,PA_UV vs PA_NoUV,membrane,0.181795063,no hit
FUS,P35637,RNA-binding protein FUS,-0.365849084,20.6378928,PA_UV vs PA_NoUV,membrane,0.182744593,no hit
IKBIP,Q70UQ0,Inhibitor of nuclear factor kappa-B kinase-interacting protein,0.641817837,17.28795329,PA_UV vs PA_NoUV,membrane,0.183007071,no hit
EPB41L1,Q9H4G0,Band 4.1-like protein 1,0.602014874,19.2884622,PA_UV vs PA_NoUV,membrane,0.18325282,no hit
ACTN4,O43707,Alpha-actinin-4,0.922218142,24.23763788,PA_UV vs PA_NoUV,membrane,0.183329336,no hit
PABPC1,P11940,Polyadenylate-binding protein 1,-0.630119002,24.21336036,PA_UV vs PA_NoUV,membrane,0.183804025,no hit
ITGA1,P56199,Integrin alpha-1,0.49113638,23.7902444,PA_UV vs PA_NoUV,membrane,0.184583985,no hit
METTL7A,Q9H8H3,Putative methyltransferase-like protein 7A,0.357433527,19.20528588,PA_UV vs PA_NoUV,membrane,0.184766376,no hit
RAP2C,Q9Y3L5,Ras-related protein Rap-2c,0.358702367,20.94884519,PA_UV vs PA_NoUV,membrane,0.185261849,no hit
MBOAT7,Q96N66,Lysophospholipid acyltransferase 7,0.473522103,21.15090251,PA_UV vs PA_NoUV,membrane,0.1866082,no hit
SEPTIN6,Q14141,Septin-6,-0.459227729,19.49301454,PA_UV vs PA_NoUV,membrane,0.186651999,no hit
SEPTIN2,Q15019,Septin-2,-0.582607433,21.13641739,PA_UV vs PA_NoUV,membrane,0.186812507,no hit
ARPC2,O15144,Actin-related protein 2/3 complex subunit 2,0.600123475,19.94486273,PA_UV vs PA_NoUV,membrane,0.187162091,no hit
SYNGR2,O43760,Synaptogyrin-2,-0.368752676,23.70597856,PA_UV vs PA_NoUV,membrane,0.187929129,no hit
SNRNP70,P08621,U1 small nuclear ribonucleoprotein 70 kDa,-0.710078446,19.87591706,PA_UV vs PA_NoUV,membrane,0.187943742,no hit
CAPRIN1,Q14444,Caprin-1,-0.846406766,22.51499439,PA_UV vs PA_NoUV,membrane,0.188741693,no hit
TPD52,P55327,Tumor protein D52,-0.408238867,19.03345466,PA_UV vs PA_NoUV,membrane,0.189798099,no hit
ANXA4,P09525,Annexin A4,-0.328814737,20.44480682,PA_UV vs PA_NoUV,membrane,0.190680226,no hit
CHMP6,Q96FZ7,Charged multivesicular body protein 6,0.650461154,18.97499389,PA_UV vs PA_NoUV,membrane,0.190688014,no hit
QARS1,P47897,Glutamine--tRNA ligase,0.266726077,20.27250349,PA_UV vs PA_NoUV,membrane,0.191147623,no hit
FDFT1,P37268,Squalene synthase,0.425187038,20.97080569,PA_UV vs PA_NoUV,membrane,0.191233484,no hit
TOR1AIP2,Q8NFQ8,Torsin-1A-interacting protein 2,0.38633714,21.49141117,PA_UV vs PA_NoUV,membrane,0.192076724,no hit
ECI2,O75521,Enoyl-CoA delta isomerase 2,0.486619502,20.20966323,PA_UV vs PA_NoUV,membrane,0.192222021,no hit
CAT,P04040,Catalase,0.418795734,21.74368313,PA_UV vs PA_NoUV,membrane,0.192393161,no hit
GSS,P48637,Glutathione synthetase,-0.25187262,19.9201646,PA_UV vs PA_NoUV,membrane,0.192401739,no hit
GNG5,P63218,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,0.295276978,21.2473397,PA_UV vs PA_NoUV,membrane,0.193509096,no hit
CISD1,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,0.371064441,19.75460577,PA_UV vs PA_NoUV,membrane,0.193786879,no hit
ATP5F1B,P06576,"ATP synthase subunit beta, mitochondrial",0.504722104,23.704151,PA_UV vs PA_NoUV,membrane,0.194272179,no hit
ACTR3,P61158,Actin-related protein 3,0.580757571,20.21934688,PA_UV vs PA_NoUV,membrane,0.19457402,no hit
TMEM259,Q4ZIN3,Membralin,0.433971247,19.72502466,PA_UV vs PA_NoUV,membrane,0.194578842,no hit
PC,P11498,"Pyruvate carboxylase, mitochondrial",0.299887838,18.01429804,PA_UV vs PA_NoUV,membrane,0.19968039,no hit
RSU1,Q15404,Ras suppressor protein 1,-0.346798298,19.45161435,PA_UV vs PA_NoUV,membrane,0.199743626,no hit
CLTC,Q00610,Clathrin heavy chain 1,-0.58344903,23.97824767,PA_UV vs PA_NoUV,membrane,0.199943655,no hit
MYO1C,O00159,Unconventional myosin-Ic,0.762812906,22.58191033,PA_UV vs PA_NoUV,membrane,0.200117587,no hit
TM9SF4,Q92544,Transmembrane 9 superfamily member 4,-0.343776127,21.25835945,PA_UV vs PA_NoUV,membrane,0.200844949,no hit
ECHS1,P30084,"Enoyl-CoA hydratase, mitochondrial",0.644135774,22.64441547,PA_UV vs PA_NoUV,membrane,0.200915995,no hit
CTNND1,O60716,Catenin delta-1,0.426531279,17.8583185,PA_UV vs PA_NoUV,membrane,0.201162898,no hit
SKIC8,Q9GZS3,SKI8 subunit of superkiller complex protein,-0.397407667,19.08300886,PA_UV vs PA_NoUV,membrane,0.201326701,no hit
LARP1,Q6PKG0,La-related protein 1,-0.46569172,20.15023106,PA_UV vs PA_NoUV,membrane,0.201806066,no hit
TARDBP,Q13148,TAR DNA-binding protein 43,-0.562865466,19.41400504,PA_UV vs PA_NoUV,membrane,0.202517645,no hit
CUTA,O60888,Protein CutA,-0.232035065,19.86332486,PA_UV vs PA_NoUV,membrane,0.203978076,no hit
HMGB1,P09429,High mobility group protein B1,-0.510994576,20.54597003,PA_UV vs PA_NoUV,membrane,0.204000527,no hit
CAPZB,P47756,F-actin-capping protein subunit beta,-0.299633964,21.60565911,PA_UV vs PA_NoUV,membrane,0.204691825,no hit
DDX20,Q9UHI6,Probable ATP-dependent RNA helicase DDX20,-0.54363381,19.28159217,PA_UV vs PA_NoUV,membrane,0.205498416,no hit
TMX3,Q96JJ7,Protein disulfide-isomerase TMX3,0.367483464,20.95633832,PA_UV vs PA_NoUV,membrane,0.20563177,no hit
EIF3M,Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,-0.681462522,19.89538069,PA_UV vs PA_NoUV,membrane,0.205645679,no hit
PURA,Q00577,Transcriptional activator protein Pur-alpha,-0.657966403,19.52289946,PA_UV vs PA_NoUV,membrane,0.206079171,no hit
ECI1,P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",0.554463027,20.65775419,PA_UV vs PA_NoUV,membrane,0.2062855,no hit
CLUH,O75153,Clustered mitochondria protein homolog,-0.474573449,20.27636457,PA_UV vs PA_NoUV,membrane,0.20630031,no hit
GARS1,P41250,Glycine--tRNA ligase,-0.347558014,19.53969869,PA_UV vs PA_NoUV,membrane,0.206579223,no hit
SLC43A3,Q8NBI5,Equilibrative nucleobase transporter 1,0.266220926,23.12547058,PA_UV vs PA_NoUV,membrane,0.207197357,no hit
PPA2,Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial",0.354218702,17.35825034,PA_UV vs PA_NoUV,membrane,0.208002998,no hit
LXN,Q9BS40,Latexin,-0.426799727,18.16682932,PA_UV vs PA_NoUV,membrane,0.209452226,no hit
CAPG,P40121,Macrophage-capping protein,-0.324627022,19.62454061,PA_UV vs PA_NoUV,membrane,0.209990864,no hit
CYFIP1,Q7L576,Cytoplasmic FMR1-interacting protein 1,0.529495555,17.97214569,PA_UV vs PA_NoUV,membrane,0.20999585,no hit
DCTN2,Q13561,Dynactin subunit 2,-0.16922936,19.19673506,PA_UV vs PA_NoUV,membrane,0.210207444,no hit
SYNJ2BP,P57105,Synaptojanin-2-binding protein,0.432890198,18.54107692,PA_UV vs PA_NoUV,membrane,0.210241153,no hit
SEC23IP,Q9Y6Y8,SEC23-interacting protein,-0.49205922,20.95768986,PA_UV vs PA_NoUV,membrane,0.210265228,no hit
PODXL,O00592,Podocalyxin,0.352561315,23.03584377,PA_UV vs PA_NoUV,membrane,0.210381766,no hit
TMX2,Q9Y320,Thioredoxin-related transmembrane protein 2,0.428316474,21.78177836,PA_UV vs PA_NoUV,membrane,0.210491862,no hit
SFT2D3,Q587I9,Vesicle transport protein SFT2C,-0.282776385,16.45173865,PA_UV vs PA_NoUV,membrane,0.210928387,no hit
ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,-0.631721972,20.75658584,PA_UV vs PA_NoUV,membrane,0.211606215,no hit
GDE1,Q9NZC3,Glycerophosphodiester phosphodiesterase 1,0.305309701,19.13413814,PA_UV vs PA_NoUV,membrane,0.211859937,no hit
RPL7,P18124,60S ribosomal protein L7,-0.701040242,23.09357298,PA_UV vs PA_NoUV,membrane,0.211942078,no hit
ZMPSTE24,O75844,CAAX prenyl protease 1 homolog,0.41201244,22.96269997,PA_UV vs PA_NoUV,membrane,0.212001088,no hit
VASN,Q6EMK4,Vasorin,0.301626373,19.60910745,PA_UV vs PA_NoUV,membrane,0.212441997,no hit
EZR,P15311,Ezrin,0.75438576,23.76831338,PA_UV vs PA_NoUV,membrane,0.212792077,no hit
PLS1,Q14651,Plastin-1,0.208566815,18.06680599,PA_UV vs PA_NoUV,membrane,0.213715497,no hit
CSDE1,O75534,Cold shock domain-containing protein E1,-0.704461001,21.92949546,PA_UV vs PA_NoUV,membrane,0.214167749,no hit
HSPA13,P48723,Heat shock 70 kDa protein 13,0.279005961,20.3096273,PA_UV vs PA_NoUV,membrane,0.214534479,no hit
DDX6,P26196,Probable ATP-dependent RNA helicase DDX6,-0.480208191,20.89930455,PA_UV vs PA_NoUV,membrane,0.215064952,no hit
RPS25,P62851,40S ribosomal protein S25,-0.876401163,23.73419303,PA_UV vs PA_NoUV,membrane,0.215092992,no hit
CAPZA2,P47755,F-actin-capping protein subunit alpha-2,-0.345423732,19.70862535,PA_UV vs PA_NoUV,membrane,0.215248236,no hit
DSG2,Q14126,Desmoglein-2,0.219861728,22.59903722,PA_UV vs PA_NoUV,membrane,0.215414019,no hit
TMEM230,Q96A57,Transmembrane protein 230,-0.432991495,18.06322385,PA_UV vs PA_NoUV,membrane,0.216026454,no hit
DDX3X,O00571,ATP-dependent RNA helicase DDX3X,-0.577699148,22.6417999,PA_UV vs PA_NoUV,membrane,0.216568998,no hit
CLPTM1,O96005,Putative lipid scramblase CLPTM1,0.338231462,21.91416527,PA_UV vs PA_NoUV,membrane,0.217661099,no hit
VIM,P08670,Vimentin,-0.570895723,23.26535519,PA_UV vs PA_NoUV,membrane,0.220172667,no hit
SLC1A5,Q15758,Neutral amino acid transporter B(0),0.249354796,23.33931246,PA_UV vs PA_NoUV,membrane,0.220820133,no hit
RPS7,P62081,40S ribosomal protein S7,-0.786140908,23.89686842,PA_UV vs PA_NoUV,membrane,0.221815067,no hit
RPS10,P46783,40S ribosomal protein S10,-0.644498881,23.21066573,PA_UV vs PA_NoUV,membrane,0.22186396,no hit
EEF2,P13639,Elongation factor 2,-0.649703471,23.90103498,PA_UV vs PA_NoUV,membrane,0.222481431,no hit
POLD1,P28340,DNA polymerase delta catalytic subunit,0.426102839,18.92673224,PA_UV vs PA_NoUV,membrane,0.222804083,no hit
LAMB1,P07942,Laminin subunit beta-1,0.277735931,19.38340498,PA_UV vs PA_NoUV,membrane,0.223317989,no hit
PI4K2A,Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,0.19639013,18.57865213,PA_UV vs PA_NoUV,membrane,0.223393961,no hit
MTHFD1,P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",-0.55566891,21.11017508,PA_UV vs PA_NoUV,membrane,0.223744564,no hit
PSME1,Q06323,Proteasome activator complex subunit 1,-0.613265819,20.70797371,PA_UV vs PA_NoUV,membrane,0.223824291,no hit
ATP5PD,O75947,"ATP synthase subunit d, mitochondrial",0.525606099,20.38986318,PA_UV vs PA_NoUV,membrane,0.224255456,no hit
ATL3,Q6DD88,Atlastin-3,0.186134311,22.31377479,PA_UV vs PA_NoUV,membrane,0.226522503,no hit
ITGA3,P26006,Integrin alpha-3,0.301445236,23.1563721,PA_UV vs PA_NoUV,membrane,0.227531742,no hit
ACO2,Q99798,"Aconitate hydratase, mitochondrial",0.461328909,20.13385828,PA_UV vs PA_NoUV,membrane,0.228606489,no hit
PEDS1,A5PLL7,Plasmanylethanolamine desaturase,-0.388173061,17.79627497,PA_UV vs PA_NoUV,membrane,0.229467802,no hit
COMT,P21964,Catechol O-methyltransferase,0.282868536,22.0958137,PA_UV vs PA_NoUV,membrane,0.229736296,no hit
PGRMC2,O15173,Membrane-associated progesterone receptor component 2,0.511154774,22.64941626,PA_UV vs PA_NoUV,membrane,0.230672277,no hit
LGALS3,P17931,Galectin-3,0.215752229,23.61945478,PA_UV vs PA_NoUV,membrane,0.231673564,no hit
SCAMP1,O15126,Secretory carrier-associated membrane protein 1,-0.326640784,22.36589434,PA_UV vs PA_NoUV,membrane,0.23240987,no hit
SACM1L,Q9NTJ5,Phosphatidylinositol-3-phosphatase SAC1,0.471149363,19.36189017,PA_UV vs PA_NoUV,membrane,0.232567839,no hit
SLC22A18,Q96BI1,Solute carrier family 22 member 18,0.401146742,19.36626462,PA_UV vs PA_NoUV,membrane,0.232958776,no hit
FARSB,Q9NSD9,Phenylalanine--tRNA ligase beta subunit,-0.477769624,21.11934935,PA_UV vs PA_NoUV,membrane,0.233497148,no hit
AP2M1,Q96CW1,AP-2 complex subunit mu,0.562545749,18.49743501,PA_UV vs PA_NoUV,membrane,0.233926784,no hit
NCEH1,Q6PIU2,Neutral cholesterol ester hydrolase 1,0.343477574,22.49043783,PA_UV vs PA_NoUV,membrane,0.234332796,no hit
WLS,Q5T9L3,Protein wntless homolog,0.241917615,21.06043891,PA_UV vs PA_NoUV,membrane,0.235105837,no hit
SLC38A5,Q8WUX1,Sodium-coupled neutral amino acid transporter 5,0.357309759,21.64665682,PA_UV vs PA_NoUV,membrane,0.23565857,no hit
TMEM43,Q9BTV4,Transmembrane protein 43,0.210304037,20.32943404,PA_UV vs PA_NoUV,membrane,0.236543588,no hit
RPS15A,P62244,40S ribosomal protein S15a,-0.63411026,22.85824235,PA_UV vs PA_NoUV,membrane,0.236787568,no hit
CORO1C,Q9ULV4,Coronin-1C,0.487951663,21.75801802,PA_UV vs PA_NoUV,membrane,0.237118433,no hit
GORASP2,Q9H8Y8,Golgi reassembly-stacking protein 2,-0.394279486,19.31453098,PA_UV vs PA_NoUV,membrane,0.237126817,no hit
RTN3,O95197,Reticulon-3,-0.377902465,20.75128982,PA_UV vs PA_NoUV,membrane,0.238071159,no hit
NUP214,P35658,Nuclear pore complex protein Nup214,0.199848944,19.10292287,PA_UV vs PA_NoUV,membrane,0.238267684,no hit
SLC44A1,Q8WWI5,Choline transporter-like protein 1,0.459230458,19.54380019,PA_UV vs PA_NoUV,membrane,0.239051819,no hit
FXR2,P51116,RNA-binding protein FXR2,-0.51279652,20.90990153,PA_UV vs PA_NoUV,membrane,0.239659314,no hit
FOLR1,P15328,Folate receptor alpha,0.480706982,22.57240817,PA_UV vs PA_NoUV,membrane,0.240298255,no hit
FLOT2,Q14254,Flotillin-2,0.345883231,20.90409988,PA_UV vs PA_NoUV,membrane,0.240667197,no hit
SLC31A1,O15431,High affinity copper uptake protein 1,0.313739314,21.67376344,PA_UV vs PA_NoUV,membrane,0.240953012,no hit
HTATIP2,Q9BUP3,Oxidoreductase HTATIP2,0.406284402,20.77703036,PA_UV vs PA_NoUV,membrane,0.241282419,no hit
MINPP1,Q9UNW1,Multiple inositol polyphosphate phosphatase 1,0.216771453,19.47939938,PA_UV vs PA_NoUV,membrane,0.24211871,no hit
RPS11,P62280,40S ribosomal protein S11,-0.742914309,23.03124588,PA_UV vs PA_NoUV,membrane,0.242503975,no hit
SEPTIN9,Q9UHD8,Septin-9,-0.571622669,20.62282783,PA_UV vs PA_NoUV,membrane,0.242816206,no hit
MOGS,Q13724,Mannosyl-oligosaccharide glucosidase,0.325040362,18.09275932,PA_UV vs PA_NoUV,membrane,0.243130177,no hit
DCXR,Q7Z4W1,L-xylulose reductase,0.389887223,18.76619983,PA_UV vs PA_NoUV,membrane,0.244104965,no hit
HLA-H,P01893,"Putative HLA class I histocompatibility antigen, alpha chain H",0.30323353,22.17885765,PA_UV vs PA_NoUV,membrane,0.244506716,no hit
ENG,P17813,Endoglin,0.252465924,21.09545145,PA_UV vs PA_NoUV,membrane,0.246806525,no hit
RPL36,Q9Y3U8,60S ribosomal protein L36,-0.891539891,21.91470485,PA_UV vs PA_NoUV,membrane,0.247393571,no hit
RNF5,Q99942,E3 ubiquitin-protein ligase RNF5,0.271632698,15.34721401,PA_UV vs PA_NoUV,membrane,0.248402997,no hit
GRPEL1,Q9HAV7,"GrpE protein homolog 1, mitochondrial",0.382051128,17.84609381,PA_UV vs PA_NoUV,membrane,0.249022296,no hit
YKT6,O15498,Synaptobrevin homolog YKT6,-0.198322628,18.72060647,PA_UV vs PA_NoUV,membrane,0.249228582,no hit
RPL11,P62913,60S ribosomal protein L11,-0.719758147,21.76274687,PA_UV vs PA_NoUV,membrane,0.249340241,no hit
AK2,P54819,"Adenylate kinase 2, mitochondrial",0.461237312,22.37643978,PA_UV vs PA_NoUV,membrane,0.24982743,no hit
FUNDC2,Q9BWH2,FUN14 domain-containing protein 2,0.392387335,19.27438144,PA_UV vs PA_NoUV,membrane,0.250303151,no hit
PPP3CA,Q08209,Protein phosphatase 3 catalytic subunit alpha,-0.209688811,20.39345478,PA_UV vs PA_NoUV,membrane,0.25105735,no hit
ANXA2,P07355,Annexin A2,0.202843576,25.62343332,PA_UV vs PA_NoUV,membrane,0.251373619,no hit
P4HB,P07237,Protein disulfide-isomerase,0.51464194,25.36471579,PA_UV vs PA_NoUV,membrane,0.25152498,no hit
ALPP,P05187,"Alkaline phosphatase, placental type",0.388317636,21.15663176,PA_UV vs PA_NoUV,membrane,0.251667894,no hit
