"accession","gene_symbol"
"NP_001138303.1","PHB2"""
"EAW75966.1","SFRS6"""
"NP_057396.1","WBP11"""
"BAD18608.1","unnamed protein product [Homo sapiens]"
"AAC50706.1","hyaluronan synthase [Homo sapiens]"
"NP_872578.1","MRPS9"""
"BAG36280.1","unnamed protein product [Homo sapiens]"
"AAC39793.1","exportin t [Homo sapiens]"
"BAG54722.1","unnamed protein product [Homo sapiens]"
"XP_011506901.1","LOC105369243"""
"XP_005251987.1","GOLGA2"""
"NP_079172.2","ERMP1"""
"AAA58371.1","APE"""
"AAC50296.1","band 7.2b stomatin [Homo sapiens]"
"XP_011513479.1","BRAT1"""
"Q8IY17.2","PNPLA6"""
"P46100.5","ATRX"""
"AAH17249.1","ENO3"""
"BAB20436.1","DA41"""
"XP_016882419.1","MAP1S"""
"EAW91846.1","EDD1"""
"CAA50592.1","P31"""
"BAD93036.1","COP9 constitutive photomorphogenic homolog subunit 2 variant, partial [Homo sapiens]"
"AAI43815.1","EVPL"""
"XP_005266132.1","DPP7"""
"BAG63985.1","unnamed protein product [Homo sapiens]"
"NP_065143.2","ATP13A1"""
"AAA60029.1","PBGD"""
"AAI41921.1","RPS9"""
"NP_058431.2","CRK"""
"AAF17237.1","ubiquitin-like product Chap1/Dsk2 [Homo sapiens]"
"AAA59488.1","LAMB2"""
"AAQ13438.1","EIF-2B-delta-like protein [Homo sapiens]"
"Q9UHJ6.3","SHPK"""
"EAW73904.1","PRPF19"""
"AAG45221.1","GTPase-interacting protein 2 [Homo sapiens]"
"EAW79671.1","ATG3"""
"NP_064621.3","MRPL1"""
"BAD96781.1","NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa variant, partial [Homo sapiens]"
"BAA92020.1","unnamed protein product [Homo sapiens]"
"BAG65068.1","unnamed protein product [Homo sapiens]"
"Q96JP2.2","MYO15B"""
"DAA64601.1","PTEN"""
"BAG34912.1","unnamed protein product [Homo sapiens]"
"Q9H6E5.2","TUT1"""
"EAW82497.1","TETRAN"""
"AAL83913.1","ABC2"""
"EAX00542.1","BRE"""
"BAG57069.1","unnamed protein product [Homo sapiens]"
"Q16666.3","IFI16"""
"EAW55745.1","GTF3C1"""
"XP_005246612.1","MAP2"""
"XP_011511565.1","GMPS"""
"NP_055554.1","BCLAF1"""
"BAG58971.1","unnamed protein product [Homo sapiens]"
"EAW60452.1","NHP2L1"""
"BAD93045.1","adaptor-related protein complex 1, mu 1 subunit variant, partial [Homo sapiens]"
"EAW54300.1","CCAR1"""
"AAV54070.1","CLE [Homo sapiens]"
"AAH40224.1","AK3L1"""
"EAW85949.1","ITGB1"""
"BAH13341.1","unnamed protein product [Homo sapiens]"
"XP_016880808.1","SPECC1"""
"NP_954592.1","CARM1"""
"O94822.6","LTN1"""
"NP_001307925.1","FABP3"""
"AAX82216.1","ACT"""
"EAW59810.1","hCG2011153, isoform CRA_d [Homo sapiens]"
"Q16822.3","PCK2"""
"NP_001966.1","ENO2"""
"EAW73939.1","DAK"""
"BAD92170.1","ribosomal protein S6 kinase, 90kDa, polypeptide 3 variant, partial [Homo sapiens]"
"NP_000128.1","FAH"""
"NP_149351.1","SURF4"""
"XP_006712994.1","ATG7"""
"NP_001317217.1","SMARCC2"""
"BAP75919.1","CUX1-RETa"""
"Q14160.4","SCRIB"""
"XP_005263699.1","BIN1"""
"ABB01006.1","HSPD1"""
"AAH11761.1","ILVBL"""
"XP_016885053.1","NSDHL"""
"NP_003918.1","MBD2"""
"NP_001247421.1","RDX"""
"NP_000010.1","ACAT1"""
"AAH08825.1","DHX16"""
"Q5VIR6.1","VPS53"""
"XP_011511727.1","GAK"""
"EAX03325.1","FLOT1"""
"AAQ14554.1","La binding protein 1 [Homo sapiens]"
"NP_005007.2","PCBP2"""
"BAC04448.1","unnamed protein product [Homo sapiens]"
"BAD92022.1","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase isoform 1 variant, partial [Homo sapiens]"
"P22570.3","FDXR"""
"AAA52712.1","IDE"""
"XP_005270768.1","KPNA6"""
"NP_056342.3","TBC1D10B"""
"AAQ73784.1","HIRIP5"""
"AAQ13505.1","MSTP003 [Homo sapiens]"
"NP_001010905.1","C6orf58"""
"AAB09423.1","2,4-dienoyl-CoA reductase [Homo sapiens]"
"NP_006801.1","PDIA5"""
"NP_001073027.1","HNRNPUL2"""
"NP_005906.2","MCM6"""
"XP_005260356.1","COMMD7"""
"AAQ57208.1","FKBP7"""
"EAW64358.1","TOP2B"""
"AAH32540.1","FBXO22"""
"AAH11353.1","LPL"""
"BAG70074.1","YWHAB"""
"EAW90533.1","KIAA0664"""
"BAF83139.1","unnamed protein product [Homo sapiens]"
"AAH16778.1","KRR1"""
"AAF29413.1","SEL1L"""
"NP_057418.1","GPR89B"""
"BAB14039.1","unnamed protein product [Homo sapiens]"
"BAC11130.1","unnamed protein product [Homo sapiens]"
"AAQ63049.1","diaphanous 1 [Homo sapiens]"
"BAA96023.1","KIAA1499"""
"NP_001308427.1","SEPTIN10"""
"NP_060831.2","AGPAT5"""
"EAW99126.1","ZA20D3"""
"AAV38744.1","deoxycytidine kinase [Homo sapiens]"
"AAP20940.1","NQO1"""
"BAG35394.1","unnamed protein product [Homo sapiens]"
"NP_068817.1","SEC24A"""
"BAD97213.1","KIAA0859 protein (Fragment) variant, partial [Homo sapiens]"
"NP_115544.1","WDR75"""
"NP_005889.3","CAPRIN1"""
"NP_005311.1","H1-3"""
"NP_001005743.1","NUMB"""
"Q14558.2","PRPSAP1"""
"BAB14446.1","unnamed protein product [Homo sapiens]"
"XP_005253647.1","DHX37"""
"NP_001290043.1","TUBA1C"""
"NP_114032.2","HNRNPU"""
"NP_116126.3","LMNB2"""
"BAF83660.1","unnamed protein product [Homo sapiens]"
"BAA91180.1","unnamed protein product [Homo sapiens]"
"P43155.5","CRAT"""
"XP_011542830.1","PCM1"""
"NP_001161726.1","OCIAD1"""
"NP_059447.2","MVP"""
"NP_001308062.1","GOSR2"""
"NP_001295093.1","GFM1"""
"AAH07957.1","DDRGK1"""
"XP_011528297.1","EWSR1"""
"XP_016876863.1","POLE2"""
"XP_005259655.1","PTBP1"""
"AAH02445.1","CPT2"""
"AAH68561.1","SLC25A24"""
"EAW60568.1","RPL19"""
"XP_016859395.1","GMPPA"""
"NP_009148.2","PDCD10"""
"BAG64687.1","unnamed protein product [Homo sapiens]"
"NP_001007562.1","IRGQ"""
"EAW92475.1","CHP"""
"AAH07539.1","FSCN1"""
"EAW90170.1","SENP3"""
"XP_016867003.1","WTAP"""
"EAW86683.1","PRKDC"""
"XP_005246247.1","ROCK2"""
"EAW90692.1","DUSP12"""
"EAW62274.1","SKP1A"""
"AAH40452.1","FAM114A1"""
"AAH65258.1","SKIV2L2"""
"AAQ02673.1","long myosin light chain kinase [Homo sapiens]"
"AAF40470.1","EHD2"""
"NP_001317398.1","COPE"""
"AAC39729.1","PRP16"""
"BAG57019.1","unnamed protein product [Homo sapiens]"
"BAA91471.1","unnamed protein product [Homo sapiens]"
"BAD92452.1","zinc finger protein 207 variant, partial [Homo sapiens]"
"NP_036270.1","AATF"""
"BAD96832.1","mitochondrial ribosomal protein L11 isoform a variant, partial [Homo sapiens]"
"BAG60181.1","unnamed protein product [Homo sapiens]"
"XP_006713191.1","IMPDH2"""
"EAW96568.1","MRPS35"""
"BAF83227.1","unnamed protein product [Homo sapiens]"
"BAD96233.1","adenylyl cyclase-associated protein variant, partial [Homo sapiens]"
"NP_001310826.1","RMDN3"""
"EAW84094.1","hCG2033729, isoform CRA_c [Homo sapiens]"
"XP_005266355.1","PDS5B"""
"AAH13309.1","PWP2H"""
"ADP90079.1","mitochondrial dynamin-like 120 kDa protein [Homo sapiens]"
"EAW98217.1","hCG27366, isoform CRA_c [Homo sapiens]"
"AAC39888.1","sperm acrosomal protein [Homo sapiens]"
"CAI46271.1","DKFZp686L20222"""
"BAH13243.1","unnamed protein product [Homo sapiens]"
"BAF85316.1","unnamed protein product [Homo sapiens]"
"XP_005270945.1","NASP"""
"EAW68637.1","hCG1784554, isoform CRA_a [Homo sapiens]"
"AAD53401.1","NPAP60L"""
"BAD92229.1","replication factor C 5 isoform 1 variant, partial [Homo sapiens]"
"BAB71628.1","unnamed protein product [Homo sapiens]"
"XP_011538595.1","PYROXD2"""
"P11586.3","MTHFD1"""
"XP_016856233.1","POGZ"""
"XP_006716583.1","EEF1D"""
"NP_001334994.1","DCTN2"""
"AAQ09022.1","unknown protein [Homo sapiens]"
"AAH35228.1","PTGR1"""
"AAA18904.1","MAP1B"""
"AAD38446.1","H1 chloride channel [Homo sapiens]"
"NP_001269374.1","EHD1"""
"AAB59499.1","alcam [Homo sapiens]"
"AAH71727.1","EEF1A1"""
"AAD34069.1","CGI-74 protein [Homo sapiens]"
"NP_003633.1","HAT1"""
"NP_001161819.1","NSUN5"""
"NP_060124.2","SAMD9"""
"AAH39740.1","MAK16"""
"Q96SY0.2","INTS14"""
"NP_001909.3","DBT"""
"NP_001895.1","CTNNB1"""
"BAA04661.1","PEP"""
"NP_075068.2","NOL6"""
"BAC06178.1","seven transmembrane helix receptor [Homo sapiens]"
"AAC03551.1","ASNA1"""
"AAF17198.1","heat shock protein hsp70-related protein [Homo sapiens]"
"XP_005254853.1","KIF23"""
"NP_003357.2","UQCRC2"""
"AAF98162.1","XPMC2 protein [Homo sapiens]"
"AAA51693.1","ALDH2"""
"NP_054766.1","C19orf53"""
"XP_011512740.2","UBR2"""
"XP_016862373.1","KIF15"""
"EAW97557.1","LTA4H"""
"AAV38474.1","replication factor C (activator 1) 3, 38kDa [Homo sapiens]"
"BAD96284.1","dendritic cell protein variant, partial [Homo sapiens]"
"AAA61180.1","Thy-1 [Homo sapiens]"
"BAF83220.1","unnamed protein product [Homo sapiens]"
"AAH14057.1","DHRS1"""
"NP_001191819.1","ISY1-RAB43"""
"CAB82399.1","DKFZp547L134"""
"AAH56878.1","TRMT11"""
"EAW58513.1","CHMP5"""
"BAD96545.1","PRP3 pre-mRNA processing factor 3 homolog, partial [Homo sapiens]"
"NP_115609.2","SETD3"""
"AAC97189.1","spliceosomal protein SAP 155 [Homo sapiens]"
"AAH32639.1","EIF5B"""
"NP_057535.1","COPB1"""
"ALQ33355.1","ADRBK1"""
"XP_005250774.1","PMPCB"""
"AAD20016.1","tip-associated protein TAP [Homo sapiens]"
"Q9Y5P6.2","GMPPB"""
"NP_002703.1","PPP1R7"""
"AAS78571.1","BRR2"""
"XP_016879565.1","SYNRG"""
"NP_001275996.1","HELLS"""
"ABO32290.1","TDP43 [Homo sapiens]"
"XP_011516886.1","GSN"""
"NP_055144.3","EDC4"""
"AAA20046.1","ubiquinol-cytochrome c reductase core I protein [Homo sapiens]"
"XP_016878010.1","TJP1"""
"AAG50180.1","tripartite motif protein TRIM19 alpha [Homo sapiens]"
"BAH13809.1","unnamed protein product [Homo sapiens]"
"XP_016868908.1","ASPH"""
"BAG36700.1","unnamed protein product [Homo sapiens]"
"NP_001317099.1","FLOT2"""
"AAF99680.1","DNA-binding protein TAXREB107 [Homo sapiens]"
"EAW71107.1","COL6A3"""
"NP_002625.1","PHB1"""
"AAF65227.1","PDCD9"""
"XP_011516666.1","ALAD"""
"NP_001305092.1","PUS7"""
"AAC18044.1","NY-CO-25"""
"NP_004757.1","COPB2"""
"NP_065761.1","LRRC47"""
"ACH48232.1","UMPS"""
"BAA91939.1","unnamed protein product [Homo sapiens]"
"AAN77932.1","DEAD-box containing helicase-like protein [Homo sapiens]"
"NP_001135888.1","AIMP1"""
"BAG63306.1","unnamed protein product [Homo sapiens]"
"BAF85209.1","unnamed protein product [Homo sapiens]"
"NP_060979.2","LRRC59"""
"XP_011528984.1","PLXNB2"""
"EAX05803.1","SEPT11"""
"BAC04451.1","unnamed protein product [Homo sapiens]"
"NP_001184223.1","DPYSL3"""
"EAW49375.1","C10orf119"""
"BAG63290.1","unnamed protein product [Homo sapiens]"
"AAD09340.1","NAD+-specific isocitrate dehydrogenase beta subunit isoform B [Homo sapiens]"
"BAG36555.1","unnamed protein product [Homo sapiens]"
"ABQ66266.1","CD109"""
"NP_057018.1","NOP58"""
"Q8WX93.3","PALLD"""
"NP_001248763.1","TBRG4"""
"EAW84621.1","GLT25D1"""
"AAH64957.1","SPCS2"""
"XP_005273160.1","GUK1"""
"BAG35474.1","unnamed protein product [Homo sapiens]"
"AAH01939.1","ELAC2"""
"AAI21795.1","VCP"""
"NP_005552.3","LAMP1"""
"BAD96198.1","chaperonin containing TCP1, subunit 7 (eta) variant, partial [Homo sapiens]"
"NP_001276052.1","TUBB4A"""
"XP_016874546.1","ERC1"""
"NP_001188267.1","SAFB"""
"XP_005267319.1","SEC23A"""
"AAD45919.2","MAGUK protein VAM-1 [Homo sapiens]"
"XP_006718732.1","SPTBN2"""
"EAW69331.1","NCLN"""
"AAF66244.1","HCA66"""
"AQY77044.1","PPP1R18 [Homo sapiens]"
"NP_116294.1","RBM17"""
"Q9BQS7.3","HEPH"""
"AAH63242.1","FASN"""
"CAH59743.1","PRDX6"""
"AAA51789.1","ASNS"""
"AAG45951.1","ribeye [Homo sapiens]"
"XP_011519406.1","DNAJC3"""
"XP_016862523.1","MTMR14"""
"NP_006057.1","AKR1A1"""
"AAH10896.1","FAM162A"""
"AAC17450.1","PYGL"""
"EAW78683.1","LXN"""
"CAA80852.1","mitogen inducible gene mig-2, partial [Homo sapiens]"
"AAH12295.1","LMNB1"""
"BAD93038.1","glyoxalase I variant, partial [Homo sapiens]"
"EAW74347.1","C11orf2"""
"NP_001317.1","CSTF3"""
"ABO65072.1","mitochondrial 28S ribosomal protein S34 [Homo sapiens]"
"AAH05134.1","RPL14"""
"NP_001128727.1","RBBP4"""
"CAH10603.1","DKFZp667H197"""
"AAC41689.1","protein PP4-X [Homo sapiens]"
"NP_001265241.1","NUP155"""
"ALP06203.1","ARID1A"""
"EAW50433.1","PRPSAP2"""
"XP_016860272.1","STAT1"""
"XP_006720633.1","PKM"""
"P22061.4","PCMT1"""
"NP_002700.1","PPP1CB"""
"AAH08751.1","CAPN1"""
"EAW68592.1","IPO7"""
"AAD37491.1","RRM1"""
"NP_001311233.1","RPN2"""
"NP_001273677.1","MRPS27"""
"NP_064505.1","UGGT1"""
"ALQ33732.1","PRCC"""
"NP_001317054.1","VAMP2"""
"BAG59258.1","unnamed protein product [Homo sapiens]"
"NP_077003.1","CCDC86"""
"NP_001121188.1","ETFA"""
"NP_005085.2","SLC27A4"""
"BAD96822.1","stomatin (EPB72)-like 2 variant, partial [Homo sapiens]"
"AAQ13652.1","MSTP137 [Homo sapiens]"
"XP_011522362.1","RABEP1"""
"AAC03787.1","MDH"""
"NP_001005386.1","ACTR2"""
"CAA65633.1","mitochondrial citrate transport protein, partial [Homo sapiens]"
"AAH13878.1","THOP1"""
"AAQ09534.1","unknown [Homo sapiens]"
"BAD92230.1","Acetyl-CoA acetyltransferase, cytosolic variant, partial [Homo sapiens]"
"BAA03494.1","KIAA00104"""
"BAE06077.2","FRAP1 variant protein"""
"NP_003156.1","STXBP1"""
"CAH18231.1","DKFZp779J1455"""
"AAF15314.1","tumor necrosis factor type 1 receptor associated protein [Homo sapiens]"
"BAD97172.1","SAR1a gene homolog 2 variant, partial [Homo sapiens]"
"CAD89917.1","DKFZp451D234"""
"EAW70563.1","XRCC5"""
"AAH05054.2","MMAB"""
"BAG38156.1","unnamed protein product [Homo sapiens]"
"XP_016855505.1","SRRM1"""
"NP_001015049.1","BAG5"""
"ACB05996.1","MYH11"""
"AAC51780.1","smooth muscle cell calponin [Homo sapiens]"
"EAW73157.1","hCG23341, isoform CRA_c [Homo sapiens]"
"BAC11526.1","unnamed protein product [Homo sapiens]"
"AAC39854.1","thyroid hormone receptor-associated protein complex component TRAP220 [Homo sapiens]"
"XP_016877246.1","MTA1"""
"EAW63444.1","GSR"""
"BAG36621.1","unnamed protein product [Homo sapiens]"
"BAF82217.1","unnamed protein product [Homo sapiens]"
"EAW80550.1","LMO7"""
"BAG48317.1","GOLGB1"""
"EAW60857.1","hCG15670, isoform CRA_b [Homo sapiens]"
"BAD96975.1","NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) variant, partial [Homo sapiens]"
"NP_061856.1","GAR1"""
"NP_001158886.1","LDHA"""
"NP_001677.2","ATP5F1B"""
"NP_057036.2","RWDD1"""
"NP_001243728.1","GAPDH"""
"EAW75324.1","DIDO1"""
"XP_011520940.2","TSC2"""
"EAX10874.1","HIBCH"""
"EAW91203.1","TPR"""
"AAX88940.1","PSMD14"""
"BAD93238.1",NA
"XP_011523824.1","EIF4A3"""
"NP_001087240.1","TXNRD1"""
"NP_001152759.1","TPI1"""
"XP_005274379.1","PICALM"""
"AAB36476.1","N8 gene product long isoform, N8L protein=D52 homolog/leucine zipper protein {alternatively spliced, clone HK4a1} [human, normal kidney, Peptide, 248 aa]"
"XP_005253946.1","OAS3"""
"BAB13995.1","unnamed protein product [Homo sapiens]"
"BAG61327.1","unnamed protein product [Homo sapiens]"
"NP_001119601.1","GINS3"""
"EAW76466.1","ARS2"""
"AAI11051.1","FKBP5"""
"EAW77320.1","hCG2001986, isoform CRA_b [Homo sapiens]"
"NP_114108.1","MRPS5"""
"BAD97242.1","branched chain aminotransferase 2, mitochondrial variant, partial [Homo sapiens]"
"EAW56332.1","STXBP3"""
"AAH34950.1","TBK1"""
"EAW87520.1","MRRF"""
"NP_009106.1","ERLIN2"""
"NP_001306000.1","SACM1L"""
"BAG35595.1","unnamed protein product [Homo sapiens]"
"AAH05298.1","CDK7"""
"XP_005247870.2","FXR1"""
"AAA16121.1","replication factor C large subunit [Homo sapiens]"
"AAO73862.1","MPFYVE [Homo sapiens]"
"AAD11466.1","heat shock protein [Homo sapiens]"
"XP_011516307.1","SH3GL2"""
"NP_000301.1","PPT1"""
"AAH68199.1","SLC25A5"""
"NP_001302466.1","LDHB"""
"NP_055454.1","SKIC3"""
"BAG35356.1","unnamed protein product [Homo sapiens]"
"CAA07491.1","pbk1"""
"AAH11949.1","CA2"""
"AAH47324.1","SMC3"""
"BAD92540.1","HIV TAT specific factor 1 variant, partial [Homo sapiens]"
"NP_066949.2","MPST"""
"XP_016856050.1","TXLNA"""
"EAW89033.1","NOL11"""
"XP_005268405.1","GNPDA1"""
"NP_001171900.1","PACSIN2"""
"BAG60741.1","unnamed protein product [Homo sapiens]"
"NP_001268382.1","MBD3"""
"XP_011531983.1","ITPR1"""
"AAB00969.1","ribosomal protein S7"""
"EAW58889.1","GABBR2"""
"BAA89209.1","BAZ1A"""
"AAC70920.1","CDC23"""
"NP_055512.1","NOS1AP"""
"XP_016855991.1","DPH2"""
"AAP69604.1","nicotinate phosphoribosyltransferase-like protein [Homo sapiens]"
"BAG36189.1","unnamed protein product [Homo sapiens]"
"NP_004175.2","WARS1"""
"BAD97199.1","UV excision repair protein RAD23 homolog B variant, partial [Homo sapiens]"
"BAG53192.1","unnamed protein product [Homo sapiens]"
"BAA02656.1","DnaJ protein homolog [Homo sapiens]"
"Q5VW36.1","FOCAD"""
"AAI43248.1","TUBGCP2"""
"EAL24439.1","KIAA0241"""
"AAF05708.1","GGA2"""
"NP_001264890.1","STIM1"""
"AAD34112.1","CGI-117 protein [Homo sapiens]"
"O75122.2","CLASP2"""
"BAD97090.1","serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1 variant, partial [Homo sapiens]"
"BAD97238.1","BCS1-like variant, partial [Homo sapiens]"
"NP_002358.1","MAGEB4"""
"NP_115649.1","TMEM126A"""
"AAP88927.1","CLU"""
"AAG09733.1","NPD007 [Homo sapiens]"
"NP_062543.1","HNRNPH2"""
"NP_055955.1","TTLL12"""
"NP_001072989.1","KTN1"""
"EAW65142.1","VPRBP"""
"XP_016868733.1","XPO7"""
"P26440.1","IVD"""
"AAA98771.1","TTR"""
"EAW51849.1","ZYX"""
"NP_060367.1","OXSM"""
"AAH02542.1","ATAD3B"""
"XP_005254765.1","TLN2"""
"NP_004930.1","DDX1"""
"NP_001135906.1","OGA"""
"AAA36399.1","phosphatase 2A regulatory subunit [Homo sapiens]"
"XP_005272318.1","CTBP1"""
"NP_689759.2","SRFBP1"""
"BAD97234.1","RAB7, member RAS oncogene family-like 1 variant, partial [Homo sapiens]"
"XP_011511214.1","DCUN1D1"""
"XP_011530324.2","HERC5"""
"BAD92410.1","transducin beta-like 3 variant, partial [Homo sapiens]"
"NP_060530.3","IARS2"""
"XP_016884588.1","GTPBP1"""
"BAG56838.1","unnamed protein product [Homo sapiens]"
"NP_689953.1","HIBADH"""
"EAX07692.1","RCC1"""
"ABP88002.1","FANCI"""
"AAG01157.1","CGI-204 [Homo sapiens]"
"XP_016868887.1","EIF3E"""
"BAH13320.1","unnamed protein product [Homo sapiens]"
"XP_016859680.1","SEPT2"""
"AAK61213.1","MPG"""
"NP_057371.2","HP1BP3"""
"AAH26326.1","GNAI1"""
"ADP90387.1","mitochondrial lon protease-like protein [Homo sapiens]"
"BAF85725.1","unnamed protein product [Homo sapiens]"
"NP_037418.3","RBM15B"""
"Q15075.2","EEA1"""
"P16435.2","POR"""
"P17655.6","CAPN2"""
"CAA68286.1","unnamed protein product [Homo sapiens]"
"BAD96295.1","TATA binding protein interacting protein 49 kDa variant, partial [Homo sapiens]"
"ALQ34116.1","PALMD"""
"CAD97853.1","DKFZp686C1753"""
"XP_011526322.1","RAB8A"""
"BAE06085.2","AKAP12 variant protein"""
"AAA35871.1","GBP-1"""
"AAP97145.1","CAF1 [Homo sapiens]"
"XP_011515669.1","MTDH"""
"NP_056377.1","UBXN7"""
"NP_004085.1","EIF2S1"""
"EAW67397.1","ARCN1"""
"BAD97348.1","Protein KIAA0196 variant, partial [Homo sapiens]"
"XP_011522183.1","ATP2A3"""
"AAO45694.1","lysophospholipase-like protein [Homo sapiens]"
"AAC15767.1","LIM"""
"CAA55016.1","hnRNP-E1"""
"NP_001305268.1","FNBP4"""
"BAG34854.1","unnamed protein product [Homo sapiens]"
"XP_016878181.1","SNAP23"""
"AAH49220.1","SLC9A3R1"""
"XP_016879096.1","SULT1A1"""
"AAH64829.1","C8orf82"""
"AAV38639.1","ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein) [Homo sapiens]"
"AAQ95169.1","estrogen receptor binding protein [Homo sapiens]"
"XP_011544175.1","ARHGAP17"""
"AAA03427.1","54 kDa protein [Homo sapiens]"
"AAH26104.1","PDCD4"""
"AAB00959.1","FACL1"""
"NP_003306.3","DNAJC7"""
"BAG56942.1","unnamed protein product [Homo sapiens]"
"AAT08032.1","GIG18"""
"XP_011533514.1","UCHL3"""
"NP_002660.1","PLRG1"""
"BAA03941.1","HTP-alpha"""
"EAW60840.1","COASY"""
"XP_016879141.1","USP7"""
"XP_005270314.1","ITPRIP"""
"AAG09682.1","dolichyl-phosphate beta-glucosyltransferase [Homo sapiens]"
"NP_001306115.1","HDGF"""
"AAH24689.1","Similar to Elongation factor 2b, partial [Homo sapiens]"
"AAQ15217.1","FP585 [Homo sapiens]"
"CAB43293.1","DKFZp586I1520"""
"AAH65495.1","KIAA1967"""
"NP_001269673.1","SPATS2L"""
"BAA91128.1","unnamed protein product [Homo sapiens]"
"BAA13385.2","KIAA0255"""
"ALQ33840.1","VASP"""
"AAQ76809.1","FLJ20071"""
"EAW68921.1","HNRPM"""
"NP_064579.3","MFF"""
"BAG59745.1","unnamed protein product [Homo sapiens]"
"BAD96517.1","arginyl-tRNA synthetase variant, partial [Homo sapiens]"
"BAA07558.2","KIAA0079"""
"BAG37826.1","unnamed protein product [Homo sapiens]"
"XP_005262538.1","CUL4B"""
"AAH71592.1","FARP1"""
"NP_001264153.1","TAGLN2"""
"NP_060225.4","NSUN2"""
"AAP97254.1","cytoplasmic dynein intermediate chain 2C [Homo sapiens]"
"XP_011508202.1","MTARC1"""
"AAI25229.1","NUP160"""
"BAH12245.1","unnamed protein product [Homo sapiens]"
"XP_011537080.1","AAAS"""
"CAB94832.1","ILK-2"""
"BAD96816.1","phosphoglycerate mutase 1 (brain) variant, partial [Homo sapiens]"
"XP_011507698.1","INTS7"""
"NP_001348.2","DHX9"""
"CAB51168.1","DKC1"""
"ABC40730.1","HSPCA"""
"NP_002890.2","RBP1"""
"EAW56540.1","hCG2043377 [Homo sapiens]"
"AAA60053.1","PDHB"""
"XP_005269798.1","ANXA11"""
"AAP20105.1","transformation-related gene 7 [Homo sapiens]"
"EAW48506.1","KIAA0776"""
"XP_005273996.1","MACROD1"""
"NP_055873.1","VWA8"""
"BAD97286.1","ADP-ribosylation-like factor 6 interacting protein 5 variant, partial [Homo sapiens]"
"AAH14415.1","HEATR3"""
"Q96I15.4","SCLY"""
"BAG36020.1","unnamed protein product [Homo sapiens]"
"NP_001616.1","AK2"""
"AAH24211.1","NCAPH"""
"P23229.5","ITGA6"""
"AAI50615.1","HEATR1"""
"BAO19692.1","FGFR2-AHCYL1"""
"NP_003482.1","NAA10"""
"Q9HC35.3","EML4"""
"NP_001273196.1","HMOX2"""
"BAG37193.1","unnamed protein product [Homo sapiens]"
"AAI27106.1","PIK3R4"""
"AAH70284.1","TIMM8A"""
"NP_036243.1","AHSA1"""
"AAD27739.1","CGI-30 protein [Homo sapiens]"
"XP_005249419.1","VARS1"""
"XP_011513391.1","IGF2BP3"""
"NP_055640.2","URB1"""
"AAC12926.1","GRY-RBP"""
"NP_066952.1","PPA1"""
"NP_071415.1","MCCC2"""
"XP_006723026.1","SAE1"""
"NP_005313.1","H1-5"""
"AAH32129.1","RPS2"""
"NP_001950.1","EEF1B2"""
"EAW95775.1","IQGAP2"""
"BAC11591.1","unnamed protein product [Homo sapiens]"
"AAH03656.1","MCM5"""
"XP_011508441.1","ARHGEF2"""
"EAW87742.1","PTGES2"""
"AAH05090.1","AGMAT"""
"AAA82937.1","pyruvate carboxylase precursor [Homo sapiens]"
"NP_036265.3","COPG2"""
"AAI39732.1","IQGAP1"""
"NP_004695.1","RRP9"""
"AAA59494.1","LBR"""
"NP_003281.1","TPM4"""
"NP_055984.1","RRS1"""
"EAW98333.1","KNTC1"""
"EAW71677.1","EXOSC10"""
"EAW75608.1","DPM1"""
"AAD09187.2","nifS"""
"XP_005265826.1","FIP1L1"""
"NP_001975.1","ESD"""
"O43847.2","NRDC"""
"NP_001037.1","SLC12A2"""
"NP_001099008.1","MYBBP1A"""
"BAF83546.1","unnamed protein product [Homo sapiens]"
"BAG51396.1","unnamed protein product [Homo sapiens]"
"NP_009028.1","CLTB"""
"AAA85336.1","p87/89"""
"NP_909122.1","RBM39"""
"EAW48850.1","RNUXA"""
"XP_005271449.1","HYOU1"""
"EAW56380.1","SORT1"""
"XP_005271379.1","NEXN"""
"NP_002188.1","ACO1"""
"O15061.2","SYNM"""
"BAH11954.1","unnamed protein product [Homo sapiens]"
"AAD27731.1","CGI-22 protein [Homo sapiens]"
"EAW89243.1","NT5C"""
"BAD96905.1","nucleolar protein NOP52 variant, partial [Homo sapiens]"
"AAO21133.1","CASP9"""
"EAW77774.1","RPL4"""
"Q9UPN3.4","MACF1"""
"NP_036249.1","CBX5"""
"AAG43122.1","My009 protein [Homo sapiens]"
"AAF02218.1","proteasome activator PA28 beta [Homo sapiens]"
"EAW62679.1","HNRPK"""
"EAW74822.1","NUMA1"""
"NP_055843.1","TNIK"""
"AAG48509.1","hUPF2 [Homo sapiens]"
"BAG57963.1","unnamed protein product [Homo sapiens]"
"BAA91840.1","unnamed protein product [Homo sapiens]"
"AAF62100.1","ECSIT"""
"BAG62404.1","unnamed protein product [Homo sapiens]"
"AAA35922.1","G protein beta subunit [Homo sapiens]"
"EAW93310.1","EPRS"""
"BAC03882.1","unnamed protein product [Homo sapiens]"
