Trial,Accession,gene_name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Fold_change,Control_abundance,Sample_abundance,,,
1,NP_006816.2,CKAP4,cytoskeleton-associated protein 4 [Homo sapiens],41,18,25,18,602,66,69.46,18,68.746,622080.3223,42765592.72,,,
1,XP_016875261.1,RAN,PREDICTED: GTP-binding nuclear protein Ran isoform X1 [Homo sapiens],23,5,10,5,222,25.3,24.29,5,19.483,2193722.211,42739915.25,,,
1,NP_067026.3,SRPRB,signal recognition particle receptor subunit beta [Homo sapiens],33,7,10,7,271,29.7,25.9,7,100,249417.8359,42477742.75,,,
1,NP_001017963.2,HSP90AA1,heat shock protein HSP 90-alpha isoform 1 [Homo sapiens],22,15,29,8,854,98.1,75.5,15,16.657,2549332.828,42464613,,,
2,NP_001152759.1,TPI1,triosephosphate isomerase isoform 2 [Homo sapiens],22,4,7,4,286,30.8,16.19,4,2.38,17735621.75,42208683.25,,,
3,NP_003371.2,VIM,vimentin [Homo sapiens],11,4,6,4,466,53.6,14.61,4,4.837,8645529.688,41821837.56,,,
1,XP_005251033.1,PLEC,PREDICTED: plectin isoform X3 [Homo sapiens],11,35,50,35,4689,532.1,127.12,35,29.05,1421374.502,41290400.47,,,
2,XP_005272132.1,VDAC1,PREDICTED: voltage-dependent anion-selective channel protein 1 isoform X1 [Homo sapiens],30,5,7,5,283,30.8,17.09,5,3.577,11450911.69,40960487.75,,,
1,NP_001012680.1,SLC3A2,4F2 cell-surface antigen heavy chain isoform b [Homo sapiens],25,12,23,12,631,68.1,57.49,12,31.049,1315849.742,40855544.75,,,
1,NP_000414.2,KRT2,"keratin, type II cytoskeletal 2 epidermal [Homo sapiens]",56,24,74,19,639,65.4,181.8,24,2.308,17436171.09,40249939.27,,,
1,NP_001407.1,EIF4A1,eukaryotic initiation factor 4A-I isoform 1 [Homo sapiens],41,9,21,8,406,46.1,59.95,9,23.937,1666404.354,39888283.53,,,
1,NP_733821.1,LMNA,lamin isoform A [Homo sapiens],35,18,39,18,664,74.1,104.38,18,26.584,1500394.631,39886942.73,,,
2,NP_002511.1,NPM1,nucleophosmin isoform 1 [Homo sapiens],27,4,7,4,294,32.6,22.24,4,1.443,27358096,39470393.5,,,
2,NP_000980.1,RPL30,60S ribosomal protein L30 [Homo sapiens],35,3,4,3,115,12.8,10.01,3,2.801,13686744.88,38337607.63,,,
2,NP_067026.3,SRPRB,signal recognition particle receptor subunit beta [Homo sapiens],12,2,2,2,271,29.7,4.76,2,31.012,1231066.625,38178034,,,
1,NP_733765.1,ATP2A2,sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens],24,16,24,16,1042,114.7,61.8,16,42.065,900518.9033,37880009.23,,,
2,NP_001247435.1,RPS3,40S ribosomal protein S3 isoform 2 [Homo sapiens],17,3,3,3,259,28.5,7.11,3,2.182,17133234,37391639,,,
1,NP_005336.3,HSPA1A,heat shock 70 kDa protein 1A [Homo sapiens],33,14,28,12,641,70,64.83,14,16.496,2239010.063,36935217.31,,,
1,NP_000996.2,RPS3,40S ribosomal protein S3 isoform 1 [Homo sapiens],49,8,12,8,243,26.7,29.58,8,17.736,2034252.453,36080028.75,,,
2,NP_002131.2,HNRNPK,heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens],18,5,9,5,464,51,17.06,5,2.745,12992387.5,35664056.13,,,
3,XP_016873358.1,PC,"PREDICTED: pyruvate carboxylase, mitochondrial isoform X1 [Homo sapiens]",10,8,11,8,1178,129.6,28.19,8,1.188,29908761.66,35544357.44,,,
2,NP_000972.1,RPL19,60S ribosomal protein L19 isoform 1 [Homo sapiens],9,2,22,2,196,23.5,40.88,2,2.241,15514213.5,34770371.81,,,
1,NP_005547.3,KRT7,"keratin, type II cytoskeletal 7 [Homo sapiens]",33,13,25,10,469,51.4,63.94,13,20.803,1634505.938,34002152.63,,,
3,XP_005272132.1,VDAC1,PREDICTED: voltage-dependent anion-selective channel protein 1 isoform X1 [Homo sapiens],31,6,14,6,283,30.8,30.67,6,1.655,20510918.5,33945119.31,,,
1,NP_001152759.1,TPI1,triosephosphate isomerase isoform 2 [Homo sapiens],43,10,21,10,286,30.8,55.01,10,13.918,2428724.564,33803579.7,,,
1,NP_000692.2,ATP1A1,sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],27,16,29,16,1023,112.8,64.43,16,56.671,589565.1309,33411147.38,,,
3,NP_006588.1,HSPA8,heat shock cognate 71 kDa protein isoform 1 [Homo sapiens],13,6,6,6,646,70.9,14.75,6,4.115,8115579.594,33392990,,,
1,NP_000962.2,RPL7,60S ribosomal protein L7 [Homo sapiens],23,5,9,5,248,29.2,19.45,5,16.045,2079749.445,33370000.86,,,
1,XP_011532356.1,TKT,PREDICTED: transketolase isoform X1 [Homo sapiens],21,7,32,7,631,68.8,64.74,7,18.577,1768395.578,32852160.75,,,
2,NP_005547.3,KRT7,"keratin, type II cytoskeletal 7 [Homo sapiens]",12,5,9,5,469,51.4,21.34,5,3.883,8328632.656,32336798.69,,,
3,NP_001173.2,ALDH7A1,alpha-aminoadipic semialdehyde dehydrogenase isoform 1 precursor [Homo sapiens],6,2,5,2,539,58.5,6.49,2,73.402,435575.1563,31971928.25,,,
3,NP_001258898.1,HSP90AB1,heat shock protein HSP 90-beta isoform a [Homo sapiens],11,5,8,3,724,83.2,16.72,5,3.848,8198208.5,31546658,,,
3,XP_011532356.1,TKT,PREDICTED: transketolase isoform X1 [Homo sapiens],15,5,17,5,631,68.8,29.36,5,2.174,14482815.7,31489360.19,,,
1,NP_004095.4,FASN,fatty acid synthase [Homo sapiens],12,21,28,21,2511,273.3,71.99,21,15.721,1997440.828,31402225.56,,,
1,NP_000970.1,RPL18,60S ribosomal protein L18 isoform 1 [Homo sapiens],31,5,6,5,188,21.6,14.83,5,8.565,3610657.531,30924496.5,,,
1,NP_000282.1,PGK1,phosphoglycerate kinase 1 [Homo sapiens],32,8,16,8,417,44.6,46.61,8,15.071,1868094.219,28154046.63,,,
2,NP_733765.1,ATP2A2,sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens],3,3,3,3,1042,114.7,7.08,3,9.452,2946509.438,27849159.38,,,
1,NP_006079.1,TUBB4B,tubulin beta-4B chain [Homo sapiens],58,20,51,3,445,49.8,129.42,20,23.767,1164560.469,27677534,,,
2,NP_004095.4,FASN,fatty acid synthase [Homo sapiens],7,12,17,12,2511,273.3,40.06,12,3.454,7937852.781,27416690.31,,,
2,NP_001173.2,ALDH7A1,alpha-aminoadipic semialdehyde dehydrogenase isoform 1 precursor [Homo sapiens],9,3,6,3,539,58.5,12.41,3,21.001,1297148.25,27240861.5,,,
1,NP_004125.3,HSPA9,"stress-70 protein, mitochondrial precursor [Homo sapiens]",27,12,17,12,679,73.6,46.26,12,18.679,1441788.168,26931818.22,,,
3,NP_002464.1,MYH9,myosin-9 [Homo sapiens],10,13,22,13,1960,226.4,46.35,13,7.154,3731226.984,26694779.16,,,
3,NP_821133.1,TUBB,tubulin beta chain isoform b [Homo sapiens],26,9,12,3,444,49.6,26.78,9,3.252,8143263.875,26477903,,,
2,XP_016880042.1,ACACA,PREDICTED: acetyl-CoA carboxylase 1 isoform X1 [Homo sapiens],5,8,13,8,2391,270.5,27.4,8,1.233,21135462.89,26052229.36,,,
1,XP_005272132.1,VDAC1,PREDICTED: voltage-dependent anion-selective channel protein 1 isoform X1 [Homo sapiens],49,8,29,8,283,30.8,72.1,8,11.977,2142508.523,25661721.5,,,
1,NP_005372.2,NCL,nucleolin [Homo sapiens],17,8,16,8,710,76.6,41.99,8,17.72,1412735.266,25034311.25,,,
3,XP_016880042.1,ACACA,PREDICTED: acetyl-CoA carboxylase 1 isoform X1 [Homo sapiens],8,14,22,14,2391,270.5,46.19,14,0.4,62392565,24946241.16,,,
3,NP_001158886.1,LDHA,L-lactate dehydrogenase A chain isoform 3 [Homo sapiens],11,3,3,3,361,39.8,6.36,3,4.012,6216424.57,24943385.59,,,
2,XP_016870146.1,ANXA1,PREDICTED: annexin A1 isoform X1 [Homo sapiens],8,3,6,3,357,40.1,15.63,3,2.155,11526058.75,24839155.5,,,
1,NP_001290203.1,ACLY,ATP-citrate synthase isoform 3 [Homo sapiens],17,14,20,14,1155,126.1,49.09,14,24.8,984616.2773,24418940.38,,,
1,NP_000413.1,KRT17,"keratin, type I cytoskeletal 17 [Homo sapiens]",34,13,25,7,432,48.1,61.8,13,13.945,1735867.156,24206900.84,,,
1,XP_016870146.1,ANXA1,PREDICTED: annexin A1 isoform X1 [Homo sapiens],34,9,19,9,357,40.1,54.27,9,14.58,1649179.383,24045372,,,
3,NP_005013.1,PFN1,profilin-1 [Homo sapiens],18,2,4,2,140,15,8.76,2,5.122,4691425.5,24027930.5,,,
3,NP_114032.2,HNRNPU,heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens],14,6,14,6,825,90.5,39.83,6,3.729,6418349.688,23932125.44,,,
1,NP_000415.2,KRT5,"keratin, type II cytoskeletal 5 [Homo sapiens]",20,10,15,7,590,62.3,36.75,10,6.428,3682586.852,23671640.25,,,
1,XP_011522035.1,ALDH3A2,PREDICTED: fatty aldehyde dehydrogenase isoform X1 [Homo sapiens],22,8,9,8,508,57.6,24.7,8,14.09,1671332.863,23549306.59,,,
2,NP_057086.2,SCCPDH,saccharopine dehydrogenase-like oxidoreductase [Homo sapiens],9,3,4,3,429,47.1,8.94,3,6.094,3850494.063,23466399,,,
3,XP_005248174.1,TMEM33,PREDICTED: transmembrane protein 33 isoform X1 [Homo sapiens],9,2,2,2,247,28,4.27,2,43.418,539092.25,23406328,,,
2,XP_005250918.1,PABPC1,PREDICTED: polyadenylate-binding protein 1 isoform X1 [Homo sapiens],10,4,6,4,636,70.6,15.28,4,3.548,6517628.75,23123207,,,
1,XP_016882662.1,CD147,PREDICTED: basigin isoform X1 [Homo sapiens],19,6,17,6,385,42.2,43.9,6,100,143976.0117,22894541.53,,,
2,XP_011539528.1,PHGDH,PREDICTED: D-3-phosphoglycerate dehydrogenase isoform X1 [Homo sapiens],6,3,3,3,607,64.7,6.78,3,2.947,7707262.375,22713979,,,
1,NP_006576.2,CCT8,T-complex protein 1 subunit theta isoform 1 [Homo sapiens],18,8,13,8,548,59.6,36.21,8,16.106,1397951.783,22515432,,,
2,NP_003079.1,FSCN1,fascin [Homo sapiens],10,3,3,3,493,54.5,7.55,3,2.413,9291144.375,22416809,,,
1,XP_016882820.1,ACTN4,PREDICTED: alpha-actinin-4 isoform X3 [Homo sapiens],25,16,22,9,933,107.2,58.45,16,24.302,917036.2188,22285708.17,,,
1,NP_001145.1,ANXA5,annexin A5 [Homo sapiens],32,7,13,7,320,35.9,34.24,7,22.706,979698.3906,22244907.47,,,
1,NP_001091.1,ACTA1,"actin, alpha skeletal muscle [Homo sapiens]",25,7,21,2,377,42,52.93,7,19.95,1111213.25,22169188,,,
1,NP_110416.1,HM13,minor histocompatibility antigen H13 isoform 1 [Homo sapiens],13,4,17,4,377,41.5,48.9,4,100,110461.5078,22090224.69,,,
3,NP_000692.2,ATP1A1,sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],6,5,7,5,1023,112.8,15.52,5,17.252,1276541.094,22022354.5,,,
2,XP_011535012.1,HNRNPC,PREDICTED: heterogeneous nuclear ribonucleoproteins C1/C2 isoform X1 [Homo sapiens],9,2,3,2,306,33.7,7.18,2,2.896,7593047,21986730.5,,,
3,NP_001017963.2,HSP90AA1,heat shock protein HSP 90-alpha isoform 1 [Homo sapiens],4,3,5,1,854,98.1,10.13,3,4.258,5119859.5,21799938,,,
2,NP_006073.2,TUBA1B,tubulin alpha-1B chain [Homo sapiens],27,8,22,4,451,50.1,43.07,8,2.574,8448114.406,21744256.56,,,
2,NP_000414.2,KRT2,"keratin, type II cytoskeletal 2 epidermal [Homo sapiens]",24,11,27,10,639,65.4,54.49,11,0.91,23785983.88,21635059.33,,,
2,NP_006816.2,CKAP4,cytoskeleton-associated protein 4 [Homo sapiens],10,3,6,3,602,66,17.11,3,11.295,1885107.813,21291486.25,,,
1,NP_000993.1,RPLP0,60S acidic ribosomal protein P0 [Homo sapiens],28,5,10,5,317,34.3,23.4,5,19.036,1112379.418,21175519.75,,,
2,NP_112738.1,HNRNPD,heterogeneous nuclear ribonucleoprotein D0 isoform a [Homo sapiens],7,2,3,2,355,38.4,6.96,2,2.306,9132473.75,21056798.5,,,
1,XP_016879224.1,SLC7A5,PREDICTED: large neutral amino acids transporter small subunit 1 isoform X1 [Homo sapiens],9,3,5,3,509,54.9,14.14,3,100,154945.5313,20738821.72,,,
1,NP_006089.1,RACK1,receptor of activated protein C kinase 1 [Homo sapiens],39,7,15,7,317,35.1,39.31,7,15.235,1354861.945,20641717.34,,,
3,NP_001230106.1,ALDOA,fructose-bisphosphate aldolase A isoform 2 [Homo sapiens],15,4,10,4,418,45.2,18.6,4,4.522,4537557.5,20519853.5,,,
2,NP_001407.1,EIF4A1,eukaryotic initiation factor 4A-I isoform 1 [Homo sapiens],23,6,10,5,406,46.1,25.13,6,2.528,8098465.688,20475428.88,,,
1,NP_003135.2,SSR1,translocon-associated protein subunit alpha isoform 1 precursor [Homo sapiens],18,3,7,3,286,32.2,18.75,3,76.413,267629.8359,20450345.5,,,
1,NP_002131.2,HNRNPK,heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens],22,6,14,6,464,51,31.01,6,19.248,1047999.869,20171743.63,,,
1,NP_001121620.1,TFRC,transferrin receptor protein 1 isoform 1 [Homo sapiens],16,10,11,10,760,84.8,27.87,10,19.157,1052894.367,20169785.92,,,
1,NP_001245367.1,TARS1,"threonine--tRNA ligase, cytoplasmic isoform 2 [Homo sapiens]",17,11,14,11,756,86.8,35.01,11,10.895,1836951.717,20012780.44,,,
3,NP_002147.2,HSPD1,"60 kDa heat shock protein, mitochondrial [Homo sapiens]",18,6,16,6,573,61,39.15,6,3.094,6437669.219,19916946.38,,,
2,XP_011522035.1,ALDH3A2,PREDICTED: fatty aldehyde dehydrogenase isoform X1 [Homo sapiens],8,3,3,3,508,57.6,8.26,3,100,0,19597626,,,
2,XP_005253288.1,CD44,PREDICTED: CD44 antigen isoform X1 [Homo sapiens],5,2,3,2,743,81.6,4.18,2,100,140000.3906,19384546,,,
1,XP_005249786.1,HNRNPA2B1,PREDICTED: heterogeneous nuclear ribonucleoproteins A2/B1 isoform X1 [Homo sapiens],28,7,15,7,353,37.4,46.99,7,16.119,1176946.273,18971126.34,,,
3,NP_000972.1,RPL19,60S ribosomal protein L19 isoform 1 [Homo sapiens],9,2,14,2,196,23.5,29.12,2,0.456,40652183,18520695.36,,,
1,NP_000963.1,RPL7A,60S ribosomal protein L7a [Homo sapiens],30,6,8,6,266,30,22.99,6,19.756,934282.21,18457447.39,,,
1,NP_001173.2,ALDH7A1,alpha-aminoadipic semialdehyde dehydrogenase isoform 1 precursor [Homo sapiens],19,6,9,6,539,58.5,25.88,6,100,139580.3535,18306758.31,,,
1,NP_003290.1,HSP90B1,endoplasmin precursor [Homo sapiens],16,8,11,7,803,92.4,27.55,8,25.665,691440.0273,17745916.25,,,
2,NP_001243211.1,KRT8,"keratin, type II cytoskeletal 8 isoform 1 [Homo sapiens]",14,5,5,5,511,56.6,13.12,5,4.811,3632000.844,17474597.63,,,
1,NP_001395.1,EEF1G,elongation factor 1-gamma [Homo sapiens],16,6,15,6,437,50.1,42.63,6,17.678,987268.373,17453182.19,,,
1,NP_006421.2,CCT4,T-complex protein 1 subunit delta isoform a [Homo sapiens],31,10,13,10,539,57.9,31.98,10,27.989,613426.5215,17169164.88,,,
3,NP_002131.2,HNRNPK,heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens],13,4,7,4,464,51,18.32,4,4.302,3955244.016,17016024.28,,,
3,NP_005338.1,HSPA5,78 kDa glucose-regulated protein precursor [Homo sapiens],7,3,6,3,654,72.3,14.38,3,3.746,4509779.875,16894225.5,,,
1,NP_001003.1,RPS8,40S ribosomal protein S8 [Homo sapiens],28,4,13,4,208,24.2,32.9,4,17.745,928443.8926,16475221.75,,,
1,XP_016880042.1,ACACA,PREDICTED: acetyl-CoA carboxylase 1 isoform X1 [Homo sapiens],12,20,33,20,2391,270.5,82.57,20,2.431,6762794.984,16438125.08,,,
1,NP_001004.2,RPS9,40S ribosomal protein S9 isoform a [Homo sapiens],15,3,3,3,194,22.6,6.87,3,18.291,880081.4805,16097265,,,
1,XP_016885266.1,UBA1,PREDICTED: ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],20,13,22,13,1109,123.1,56.6,13,18.972,838420.1445,15906605.31,,,
1,XP_011535012.1,HNRNPC,PREDICTED: heterogeneous nuclear ribonucleoproteins C1/C2 isoform X1 [Homo sapiens],13,3,5,3,306,33.7,13.04,3,23.082,684432.6328,15797791.81,,,
2,XP_005249786.1,HNRNPA2B1,PREDICTED: heterogeneous nuclear ribonucleoproteins A2/B1 isoform X1 [Homo sapiens],15,2,12,2,353,37.4,30.94,2,3.251,4730399,15376329,,,
2,NP_000678.1,AHCY,adenosylhomocysteinase isoform 1 [Homo sapiens],5,2,3,2,432,47.7,7.76,2,3.707,4132365.75,15320396,,,
3,NP_004915.2,ACTN4,alpha-actinin-4 isoform 1 [Homo sapiens],8,5,6,5,911,104.8,11.92,5,5.927,2552539.875,15128186.13,,,
3,XP_016870146.1,ANXA1,PREDICTED: annexin A1 isoform X1 [Homo sapiens],16,5,6,5,357,40.1,14.29,5,5.513,2731152.031,15057779.5,,,
1,XP_016857543.1,SFPQ,"PREDICTED: splicing factor, proline- and glutamine-rich isoform X1 [Homo sapiens]",6,3,3,3,707,76.1,7.55,3,22.522,668164.125,15048604.91,,,
2,NP_006420.1,CCT7,T-complex protein 1 subunit eta isoform a [Homo sapiens],12,4,5,4,543,59.3,11.95,4,5.659,2646309.25,14974672,,,
1,NP_009057.1,VCP,transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],20,11,19,11,806,89.3,42.35,11,19.019,785892.2188,14947041.34,,,
2,XP_016881278.1,ATP5F1A,"PREDICTED: ATP synthase subunit alpha, mitochondrial isoform X1 [Homo sapiens]",11,4,5,4,586,64.1,12.43,4,2.136,6963876.281,14872537.25,,,
1,XP_016881278.1,ATP5F1A,"PREDICTED: ATP synthase subunit alpha, mitochondrial isoform X1 [Homo sapiens]",22,8,10,8,586,64.1,22.85,8,13.936,1066984.93,14870026,,,
1,NP_006311.2,IL23A,membrane-associated progesterone receptor component 2 [Homo sapiens],23,4,7,4,247,26.2,17.16,4,100,146135.9141,14750661.13,,,
2,NP_005007.2,PCBP2,poly(rC)-binding protein 2 isoform a [Homo sapiens],16,3,7,2,366,38.6,18.07,3,2.467,5963116.5,14713863,,,
3,NP_004095.4,FASN,fatty acid synthase [Homo sapiens],5,8,13,8,2511,273.3,26.65,8,3.126,4704937.609,14709804.22,,,
3,NP_006576.2,CCT8,T-complex protein 1 subunit theta isoform 1 [Homo sapiens],10,4,4,4,548,59.6,9.41,4,4.179,3498123.313,14619809.5,,,
1,NP_000843.1,GSTP1,glutathione S-transferase P [Homo sapiens],46,6,16,6,210,23.3,35.23,6,17.539,832233.4023,14596460.84,,,
2,NP_004125.3,HSPA9,"stress-70 protein, mitochondrial precursor [Homo sapiens]",7,3,3,3,679,73.6,6.66,3,2.157,6627578.125,14298305.5,,,
3,NP_006816.2,CKAP4,cytoskeleton-associated protein 4 [Homo sapiens],14,5,6,5,602,66,16.2,5,9.188,1535765.703,14111153,,,
1,NP_004896.1,PRDX6,peroxiredoxin-6 [Homo sapiens],20,4,4,4,224,25,9.08,4,16.898,817368.8281,13811584.25,,,
2,NP_005336.3,HSPA1A,heat shock 70 kDa protein 1A [Homo sapiens],6,3,3,2,641,70,6.57,3,2.695,5111075.188,13773436.63,,,
1,NP_001019.1,RPS25,40S ribosomal protein S25 [Homo sapiens],14,2,3,2,125,13.7,4.3,2,19.199,714888.9688,13725353.5,,,
2,XP_011512434.1,LPCAT1,PREDICTED: lysophosphatidylcholine acyltransferase 1 isoform X1 [Homo sapiens],4,2,2,2,571,63,4.3,2,22.56,597737.4531,13485010,,,
1,NP_060557.3,NDC1,nucleoporin NDC1 isoform 1 [Homo sapiens],16,7,16,7,674,76.3,42.14,7,46.7,284768.6504,13298740.13,,,
3,NP_005547.3,KRT7,"keratin, type II cytoskeletal 7 [Homo sapiens]",7,3,4,3,469,51.4,9.71,3,33.705,392325.9063,13223331.88,,,
3,NP_000971.1,RPL18A,60S ribosomal protein L18a [Homo sapiens],17,3,3,3,176,20.7,7.39,3,1.536,8558219,13149000.75,,,
3,NP_001152759.1,TPI1,triosephosphate isomerase isoform 2 [Homo sapiens],12,2,3,2,286,30.8,7.2,2,3.149,4129957.875,13004205.5,,,
2,NP_001524.2,HNRNPL,heterogeneous nuclear ribonucleoprotein L isoform a [Homo sapiens],19,5,13,5,589,64.1,20.52,5,2.472,5254084.336,12990016.3,,,
2,XP_016885266.1,UBA1,PREDICTED: ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],6,4,6,4,1109,123.1,12.62,4,3.11,4151482.688,12910118.88,,,
1,NP_003079.1,FSCN1,fascin [Homo sapiens],32,9,12,9,493,54.5,32.07,9,24.608,520000.1406,12796257.88,,,
2,NP_001245367.1,TARS1,"threonine--tRNA ligase, cytoplasmic isoform 2 [Homo sapiens]",7,3,3,3,756,86.8,6.74,3,4.246,3010796,12783937.75,,,
1,NP_002145.3,HSPA4,heat shock 70 kDa protein 4 [Homo sapiens],21,11,14,10,840,94.3,38.02,11,22.099,576109.4141,12731577.83,,,
2,XP_011525056.1,GPI,PREDICTED: glucose-6-phosphate isomerase isoform X1 [Homo sapiens],7,3,5,3,597,67.2,11.08,3,2.879,4396517.156,12656908.25,,,
1,NP_000977.1,RPL24,60S ribosomal protein L24 [Homo sapiens],13,2,3,2,157,17.8,7.49,2,19.111,654786.6563,12513341.75,,,
3,NP_060557.3,NDC1,nucleoporin NDC1 isoform 1 [Homo sapiens],5,2,5,2,674,76.3,9.9,2,12.697,980948.8281,12454640.75,,,
1,XP_011508942.1,CPS1,"PREDICTED: carbamoyl-phosphate synthase [ammonia], mitochondrial isoform X1 [Homo sapiens]",15,12,20,12,1511,166.2,46.34,12,20.143,618156.0117,12451661.58,,,
1,NP_000967.1,RPL12,60S ribosomal protein L12 [Homo sapiens],49,5,6,5,165,17.8,18.92,5,17.633,703013.3125,12396490.25,,,
1,XP_011532847.1,HNRNPH1,PREDICTED: heterogeneous nuclear ribonucleoprotein H isoform X1 [Homo sapiens],25,7,14,6,472,51.2,34.21,7,15.942,776305.6484,12375632.06,,,
2,NP_003518.2,H2BC17,histone H2B type 1-O [Homo sapiens],20,2,7,2,126,13.9,14.23,2,1.715,7203090.813,12352160.88,,,
2,NP_001290043.1,TUBA1C,tubulin alpha-1C chain isoform a [Homo sapiens],21,7,17,3,519,57.7,44.89,7,2.595,4742990.938,12309237.75,,,
1,NP_002511.1,NPM1,nucleophosmin isoform 1 [Homo sapiens],34,4,9,4,294,32.6,29.03,4,55.076,220663.0938,12153143.38,,,
1,NP_001677.2,ATP5F1B,"ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",25,7,11,7,529,56.5,33.46,7,27.283,444290.1406,12121419.25,,,
3,XP_005249786.1,HNRNPA2B1,PREDICTED: heterogeneous nuclear ribonucleoproteins A2/B1 isoform X1 [Homo sapiens],15,2,14,2,353,37.4,33.79,2,7.379,1641462.063,12111891,,,
1,NP_002943.2,RPS2,40S ribosomal protein S2 [Homo sapiens],13,4,5,4,293,31.3,11.4,4,12.584,961557.7813,12099798.63,,,
1,NP_005989.3,CCT3,T-complex protein 1 subunit gamma isoform a [Homo sapiens],17,7,12,7,545,60.5,27,7,47.247,255625.1133,12077602.38,,,
3,XP_005251033.1,PLEC,PREDICTED: plectin isoform X3 [Homo sapiens],2,7,9,7,4689,532.1,20.81,7,6.054,1994221.656,12073366.69,,,
1,XP_011512434.1,LPCAT1,PREDICTED: lysophosphatidylcholine acyltransferase 1 isoform X1 [Homo sapiens],12,5,6,5,571,63,14.01,5,100,90531.78906,11939305.13,,,
3,NP_036585.1,TBL2,transducin beta-like protein 2 precursor [Homo sapiens],12,3,8,3,447,49.8,15.56,3,35.627,332381.75,11841680.44,,,
3,XP_011539528.1,PHGDH,PREDICTED: D-3-phosphoglycerate dehydrogenase isoform X1 [Homo sapiens],4,2,2,2,607,64.7,4.61,2,3.426,3430836.375,11753663,,,
2,NP_006301.3,NPEPPS,puromycin-sensitive aminopeptidase isoform 1 [Homo sapiens],4,3,3,3,919,103.2,6.8,3,7.879,1478712.688,11651046,,,
2,NP_000909.2,P4HB,protein disulfide-isomerase precursor [Homo sapiens],8,2,5,2,508,57.1,6.91,2,3.685,3149132.5,11604250,,,
2,NP_009057.1,VCP,transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],6,4,6,4,806,89.3,13.95,4,4.556,2529467.156,11524401.13,,,
1,NP_003861.1,IQGAP1,ras GTPase-activating-like protein IQGAP1 [Homo sapiens],15,17,28,16,1657,189.1,70.1,17,25.576,450483.8125,11521586.59,,,
3,NP_055577.1,DHCR24,delta(24)-sterol reductase precursor [Homo sapiens],4,2,2,2,516,60.1,4.59,2,11.541,995257.9688,11486747.75,,,
1,XP_011525056.1,GPI,PREDICTED: glucose-6-phosphate isomerase isoform X1 [Homo sapiens],18,6,18,6,597,67.2,38.68,6,18.643,614087.7031,11448361.19,,,
1,NP_005909.2,MDH2,"malate dehydrogenase, mitochondrial isoform 1 precursor [Homo sapiens]",22,5,8,5,338,35.5,22.46,5,17.929,635741.3867,11398071.69,,,
2,NP_001753.1,CCT6A,T-complex protein 1 subunit zeta isoform a [Homo sapiens],8,2,3,2,531,58,7.03,2,3.891,2882339.125,11215260.5,,,
1,NP_000972.1,RPL19,60S ribosomal protein L19 isoform 1 [Homo sapiens],9,2,15,2,196,23.5,39.68,2,8.959,1250099.641,11199052.25,,,
3,NP_733821.1,LMNA,lamin isoform A [Homo sapiens],14,5,8,5,664,74.1,19.59,5,4.96,2256712.375,11193344.38,,,
1,XP_011539528.1,PHGDH,PREDICTED: D-3-phosphoglycerate dehydrogenase isoform X1 [Homo sapiens],13,5,8,5,607,64.7,21.58,5,21.842,510951.3594,11160004.94,,,
1,NP_006420.1,CCT7,T-complex protein 1 subunit eta isoform a [Homo sapiens],25,9,15,9,543,59.3,39.02,9,21.029,530058.9297,11146750.33,,,
1,NP_006422.1,CCT2,T-complex protein 1 subunit beta isoform 1 [Homo sapiens],21,7,9,7,535,57.5,22.25,7,42.664,259334.3359,11064321,,,
2,XP_011508942.1,CPS1,"PREDICTED: carbamoyl-phosphate synthase [ammonia], mitochondrial isoform X1 [Homo sapiens]",2,2,2,2,1511,166.2,4.13,2,3.192,3461417.5,11048132,,,
2,XP_005257069.1,CLTC,PREDICTED: clathrin heavy chain 1 isoform X1 [Homo sapiens],7,7,10,7,1682,192.3,22.67,7,3.26,3360576.063,10955968.75,,,
1,NP_001285.1,CLPTM1,cleft lip and palate transmembrane protein 1 isoform 2 [Homo sapiens],12,4,5,4,669,76,10.71,4,26.991,405432.8125,10942980.13,,,
1,NP_000980.1,RPL30,60S ribosomal protein L30 [Homo sapiens],35,3,3,3,115,12.8,7.85,3,14.327,758945.3203,10873380.94,,,
2,NP_003477.4,SLC7A5,large neutral amino acids transporter small subunit 1 [Homo sapiens],7,2,2,2,507,55,5.08,2,7.716,1408505.625,10867330.81,,,
