Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MSPepSearch: MSPepSearch,# Peptides (by Search Engine): MSPepSearch,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (Penta) / (Control),Abundance Ratio (log2): (Penta) / (Control),Abundance Ratio Adj. P-Value: (Penta) / (Control),Abundance Ratio Variability [%]: (Penta) / (Control),Abundances (Grouped): Control,Abundances (Grouped): Penta,Abundances (Grouped) CV [%]: Control,Abundances (Grouped) CV [%]: Penta,"Found in Sample: [S1] F1: Sample, Control, 1","Found in Sample: [S2] F2: Sample, Control, 2","Found in Sample: [S3] F3: Sample, Control, 3","Found in Sample: [S4] F4: Sample, Penta, 1","Found in Sample: [S5] F5: Sample, Penta, 2","Found in Sample: [S6] F6: Sample, Penta, 3",# Protein Groups,Modifications
FALSE,High,Master Protein,XP_016857237.1,PREDICTED: protein enabled homolog isoform X4 [OS=Homo sapiens],0,35.018,10,4,12,4,853,93.6,11.02,4853,4,0,0,1.346,0.43,0.608921762,63.06,2409949.832,3602359.508,56.78,20.24,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_149014.3,rho GTPase-activating protein SYDE1 isoform 1 [OS=Homo sapiens],0.001,2.796,2,1,3,1,735,79.7,8.43,770,1,0,0,1.346,0.43,0.806709836,50.5,286572.3406,380458.6208,73.61,30.39,Not Found,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_006724806.1,PREDICTED: four and a half LIM domains protein 1 isoform X1 [OS=Homo sapiens],0,12.203,7,2,17,2,339,37.9,9.04,8777,2,0,0,1.346,0.43,0.67879472,95,1246265.952,1260805.551,12,15.82,High,High,High,High,High,High,1,
FALSE,High,Master Protein,CAA07022.1,beta-tubulin cofactor d [OS=Homo sapiens],0,37.059,7,6,34,6,1248,138.6,6.4,11184,6,0,0,1.345,0.43,0.492000132,69.19,3832762.974,5476992.246,51.36,17.73,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ALQ33814.1,"TEA domain family member 4 isoform 3, partial [OS=Homo sapiens]",0,7.387,5,2,14,2,238,27.8,8.98,4354,2,0,0,1.345,0.43,0.806709836,51.64,396263.1762,502184.3228,77.76,23.13,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,BAG35376.1,unnamed protein product [OS=Homo sapiens],0,35.585,38,5,26,5,198,22.3,7.03,7941,5,0,0,1.345,0.43,0.288939884,107.36,6039248.896,10346929.72,29.46,10.83,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_005251524.1,PREDICTED: nuclear factor 1 B-type isoform X1 [OS=Homo sapiens],0,7.075,8,3,4,3,570,63.4,8.66,955,3,0,0,1.34,0.42,0.812033714,76.26,135389.3694,195755.9737,150.53,130.77,High,Not Found,Not Found,High,Not Found,Not Found,1,
FALSE,High,Master Protein,XP_016861535.1,"PREDICTED: arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 isoform X1 [OS=Homo sapiens]",0.001,2.88,1,1,3,1,848,96.1,6.96,634,1,0,0,1.34,0.42,0.829633943,62.41,103375.8331,138543.7472,76.37,25.94,Not Found,High,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,O43169.2,RecName: Full=Cytochrome b5 type B; AltName: Full=Cytochrome b5 outer mitochondrial membrane isoform; Flags: Precursor [OS=Homo sapiens],0,36.324,45,3,22,3,146,16.3,4.97,9468,3,0,0,1.34,0.42,0.175605187,62.54,12604143.15,10366069.17,16.04,1.73,High,High,High,High,High,High,1,
FALSE,Medium,Master Protein,XP_016863202.1,PREDICTED: alcohol dehydrogenase 4 isoform X1 [OS=Homo sapiens],0.032,1.216,9,1,1,1,406,43.5,8.03,61,1,0,0,1.338,0.42,0.634686317,146.4,74521.55794,4613068.149,164.55,85.25,Not Found,Not Found,High,Not Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAW92926.1,"ribosomal protein L9, isoform CRA_a [OS=Homo sapiens]",0,54.083,35,6,50,2,136,15.3,9.44,20925,6,0,0,1.338,0.42,0.118343687,39.43,16534643.34,20933697.9,19.7,24.01,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_011509554.1,PREDICTED: origin recognition complex subunit 2 isoform X1 [OS=Homo sapiens],0,9.906,5,2,5,2,597,68.4,6.55,1748,2,0,0,1.336,0.42,0.672220111,125.03,1298648.36,1647069.938,79.45,35.45,High,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,EAW54485.1,"hCG2024613, isoform CRA_b [OS=Homo sapiens]",0,7.611,12,2,4,2,261,30,5.73,1342,2,0,0,1.336,0.42,0.792308229,98.84,661581.925,698197.2718,123.5,81.96,High,High,Not Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAW71660.1,"peroxisomal biogenesis factor 14, isoform CRA_b, partial [OS=Homo sapiens]",0.003,2.455,6,1,4,1,398,43,4.79,566,1,0,0,1.335,0.42,0.588405073,39.43,2237158.165,2987264.51,69.82,16.83,Peak Found,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,EAX04120.1,"trinucleotide repeat containing 5, isoform CRA_i [OS=Homo sapiens]",0.001,3.57,3,1,1,1,332,36.4,5.27,319,1,0,0,1.334,0.42,0.825286854,45.42,109065.3015,145545.1719,58.58,8.49,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,CBW44088.1,"MHC class I antigen, partial [OS=Homo sapiens]",0,46.23,40,8,33,1,273,31.5,5.81,12000,8,0,0,1.334,0.42,0.558508719,51.78,3127307.562,4159648.351,22.26,38.44,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAE45763.1,putative protein product of Nbla10058 [OS=Homo sapiens],0,78.104,36,10,54,10,433,48.6,6.13,20798,10,0,0,1.332,0.41,0.120007611,78.09,20265284.11,24045851.32,14.89,7.45,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001171501.1,splicing factor 1 isoform 6 [OS=Homo sapiens],0,29.397,14,5,40,5,673,71.7,9.58,15292,5,0,0,1.332,0.41,0.221265274,49.61,9476694.31,11485302.24,32.52,18.69,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW76223.1,"protein C receptor, endothelial (EPCR), isoform CRA_a [OS=Homo sapiens]",0,13.039,9,2,9,2,275,30.7,8.48,3429,2,0,0,1.33,0.41,0.46306691,63.54,4830957.383,5103738.625,38.4,17.3,High,High,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH18160.1,thymidine phosphorylase [OS=Homo sapiens],0,28.002,13,4,18,4,482,49.9,5.53,9802,4,0,0,1.329,0.41,0.488277596,122.63,3705982.194,5746882.591,73.86,17.46,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAP97151.1,D-myo-inositol-3-phosphate synthase [OS=Homo sapiens],0.006,2.035,8,1,8,1,526,57.7,5.64,972,1,0,0,1.328,0.41,0.654789677,80.62,1350686.576,1794223.75,29.74,93.44,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_039268.1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 [OS=Homo sapiens]",0,5.307,24,2,4,2,285,29.6,6.01,591,2,0,0,1.328,0.41,0.804604306,67.52,331661.9599,440540.4089,75.23,44.68,Not Found,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,AAH69224.1,"CCNY protein, partial [OS=Homo sapiens]",0.001,3.123,5,1,1,1,343,39.5,7.43,253,1,0,0,1.328,0.41,0.634686317,34.98,2512402.267,3695128.755,31.98,39.46,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,BAA25473.3,KIAA0547 protein [OS=Homo sapiens],0,11.115,7,3,6,3,686,75.5,6.73,1251,3,0,0,1.327,0.41,0.667262518,119.46,1787669.367,1019548.379,89.77,59.22,Peak Found,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,EAW95840.1,metaxin 3 [OS=Homo sapiens],0,6.814,3,1,7,1,326,36.8,7.74,3706,1,0,0,1.327,0.41,0.819434655,41.21,121827.9088,161645.7327,49.42,31.91,Not Found,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH37905.1,Cradd protein [OS=Homo sapiens],0.002,2.709,7,1,2,1,199,22.7,6.54,460,1,0,0,1.327,0.41,0.811236509,47.55,554366.0388,735476.25,79.87,22.55,Not Found,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAW94701.1,"ubiquitin-conjugating enzyme E2Z (putative), isoform CRA_a [OS=Homo sapiens]",0.002,2.715,8,1,1,1,299,32.7,5.35,202,1,0,0,1.326,0.41,0.813428063,77.89,437154.158,579502.3863,101.23,39.25,Peak Found,High,Not Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001171940.1,Condensin-2 complex subunit H2 isoform 3 [OS=Homo sapiens],0,5.739,5,2,3,2,606,68.3,4.74,682,2,0,0,1.326,0.41,0.580094548,14.74,3059662.312,4055952.71,70.11,69.06,Peak Found,High,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_066012.1,N6-adenosine-methyltransferase subunit METTL14 [OS=Homo sapiens],0.001,2.837,6,1,1,1,456,52.1,6.21,149,1,0,0,1.326,0.41,0.806709836,57.53,634112.0452,678520.4375,43.12,32.7,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAG51793.1,unnamed protein product [OS=Homo sapiens],0.001,2.863,1,1,2,1,1461,156,7.5,299,1,0,0,1.323,0.4,0.810545808,65.94,623683.5294,625121.134,50.37,30.93,Peak Found,High,Peak Found,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,NP_001138473.1,serine/threonine-protein kinase Nek6 isoform 1 [OS=Homo sapiens],0,5.329,5,1,3,1,347,39.8,8.44,980,1,0,0,1.323,0.4,0.658797446,31.43,1420813.452,1879832.972,35.42,23.87,Peak Found,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,Q86V81.3,RecName: Full=THO complex subunit 4; Short=Tho4; AltName: Full=Ally of AML-1 and LEF-1; AltName: Full=Aly/REF export factor; AltName: Full=Transcriptional coactivator Aly/REF; AltName: Full=bZIP-enhancing factor BEF [OS=Homo sapiens],0,74.823,42,6,86,6,257,26.9,11.15,43993,6,0,0,1.322,0.4,0.136783139,40.22,33665352.36,41497907.56,17.71,17.29,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016875199.1,PREDICTED: ATP-dependent RNA helicase DDX55 isoform X1 [OS=Homo sapiens],0,10.101,5,2,3,2,618,70.5,9.29,1324,2,0,0,1.322,0.4,0.658797446,82.81,1313345.994,1823925.749,74.13,29.52,Peak Found,High,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,Q96P47.2,"RecName: Full=Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3; Short=AGAP-3; AltName: Full=CRAM-associated GTPase; Short=CRAG; AltName: Full=Centaurin-gamma-3; Short=Cnt-g3; AltName: Full=MR1-interacting protein; Short=MRIP-1 [OS=Homo sapiens]",0.001,2.775,2,1,1,1,875,95,7.97,270,1,0,0,1.322,0.4,0.718336189,42.24,919872.1365,1177226.307,73.57,20.32,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,Medium,Master Protein,EAW75406.1,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa, isoform CRA_a [OS=Homo sapiens]",0.025,1.326,1,1,2,1,1085,109.8,9.88,267,1,0,0,1.322,0.4,0.860174874,34.94,31295.2643,43243.12683,32.38,25.06,Not Found,Peak Found,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,AAM75154.1,chronic myelogenous leukemia tumor antigen 28 [OS=Homo sapiens],0,6.8,8,2,2,2,268,28.4,7.74,549,2,0,0,1.322,0.4,0.616315124,57.7,2430854.943,2703928.612,14.83,7.19,Peak Found,High,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAX07962.1,"hCG1984214, isoform CRA_a [OS=Homo sapiens]",0,6.37,17,2,4,2,225,25.7,6.07,1187,2,0,0,1.321,0.4,0.828690618,136.24,113578.0698,149459.2073,144.15,144.5,High,Not Found,Not Found,High,Not Found,Not Found,1,
FALSE,Medium,Master Protein,EAW53296.1,"S100 calcium binding protein A13, isoform CRA_a, partial [OS=Homo sapiens]",0.015,1.613,41,1,1,1,51,5.8,4.72,95,1,0,0,1.32,0.4,0.76309742,52.35,800668.1583,1056724.661,74.86,25.43,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH07220.1,"Cysteinyl-tRNA synthetase 2, mitochondrial (putative) [OS=Homo sapiens]",0,9.208,8,2,5,2,564,62.2,8.34,2622,2,0,0,1.319,0.4,0.660574371,84.68,1341329.995,1793432.694,67.64,32.54,High,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,AAH64393.1,folylpolyglutamate synthase [OS=Homo sapiens],0,5.354,3,1,4,1,587,64.6,7.94,732,1,0,0,1.318,0.4,0.657274108,68.58,1653845.559,1948697.721,55.45,32.47,High,Peak Found,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,NP_001317000.1,serine/threonine-protein kinase DCLK1 isoform 5 [OS=Homo sapiens],0,6.224,1,1,1,1,740,82.2,8.66,515,1,0,0,1.317,0.4,0.820199887,69.53,437430.6736,576135.695,88.64,36.51,Not Found,Peak Found,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAX10996.1,"KIAA1604 protein, isoform CRA_a [OS=Homo sapiens]",0,5.784,2,1,2,1,914,106.2,7.17,756,1,0,0,1.317,0.4,0.330864694,51.87,7858723.048,10348232.81,55.17,30.06,High,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_056308.3,KN motif and ankyrin repeat domain-containing protein 2 isoform 1 [OS=Homo sapiens],0,26.302,7,4,22,4,859,91.9,5.63,9485,4,0,0,1.316,0.4,0.506144211,57.96,5069375.36,4507546.438,48.1,13.37,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAP97288.1,MSIN3A [OS=Homo sapiens],0,21.294,7,5,10,5,1273,145.1,7.25,3060,5,0,0,1.316,0.4,0.476857603,83.72,5147693.632,5047057.303,37.26,38.08,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_016873329.1,PREDICTED: platelet-activating factor acetylhydrolase IB subunit beta isoform X1 [OS=Homo sapiens],0,28.94,12,2,31,2,242,27.1,6.28,18223,2,0,0,1.315,0.4,0.16156661,53.07,18132743.06,18520449.3,34.08,10.76,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH06289.1,Hypothetical protein FLJ11151 [OS=Homo sapiens],0,9.665,8,2,4,2,314,35.6,6.06,1128,2,0,0,1.315,0.4,0.713103578,43.74,1107825.351,1518387.555,29.87,4.01,High,High,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAD92224.1,"solute carrier family 2 (facilitated glucose transporter), member 1 variant, partial [OS=Homo sapiens]",0,13.635,3,2,5,2,517,57,9.47,2920,2,0,0,1.315,0.39,0.806709836,141.78,920769.8684,667567.303,93.84,39.48,High,Peak Found,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,AAD00728.1,hepatocellular carcinoma associated protein [OS=Homo sapiens],0,63.739,24,10,32,10,606,64.9,9.32,12399,10,0,0,1.315,0.39,0.438755449,130.94,5626241.975,6745301.22,24.91,4.15,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW72986.1,"amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III), isoform CRA_e [OS=Homo sapiens]",0,49.799,12,11,29,11,1535,174.9,6.76,9590,11,0,0,1.314,0.39,0.205840109,69.24,9510600.111,13284986.52,1.93,32.22,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q9NVD7.1,RecName: Full=Alpha-parvin; AltName: Full=Actopaxin; AltName: Full=CH-ILKBP; AltName: Full=Calponin-like integrin-linked kinase-binding protein; AltName: Full=Matrix-remodeling-associated protein 2 [OS=Homo sapiens],0,32.993,22,5,13,5,372,42.2,5.95,6630,5,0,0,1.314,0.39,0.453836221,96.8,3694441.582,6912239.703,16.08,32.35,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAB67052.1,RANBP8 [OS=Homo sapiens],0,9.819,5,3,5,3,1037,119.9,5.17,1420,3,0,0,1.313,0.39,0.620983623,129.14,2429094.503,2808129.391,35.54,13.14,High,High,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,O43663.2,RecName: Full=Protein regulator of cytokinesis 1 [OS=Homo sapiens],0,8.743,9,3,4,3,620,71.6,6.68,967,3,0,0,1.312,0.39,0.148574028,69.58,29388821.14,39249561.11,33.44,29.01,Peak Found,Peak Found,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,XP_005249549.1,PREDICTED: mediator of DNA damage checkpoint protein 1 isoform X1 [OS=Homo sapiens],0,27.748,3,4,13,4,2110,229,5.5,7963,4,0,0,1.311,0.39,0.67879472,121.03,1742022.821,1804597.118,83.91,19.62,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_057126.2,exosome complex component RRP40 isoform 1 [OS=Homo sapiens],0,5.364,13,1,6,1,275,29.6,8.1,2081,1,0,0,1.311,0.39,0.558943076,44.17,3821186.982,5009428.048,57.14,20.72,High,Peak Found,High,High,Peak Found,High,1,
FALSE,High,Master Protein,EAW87239.1,"eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa, isoform CRA_c, partial [OS=Homo sapiens]",0,86.072,27,13,41,13,819,93,5.05,15337,13,0,0,1.31,0.39,0.152709139,93.12,19581426.31,24609314.35,15.91,16.5,High,High,High,High,High,High,1,
FALSE,Medium,Master Protein,AAQ15171.1,Polytrophin [OS=Homo sapiens],0.017,1.498,0,1,1,1,6825,788,5.47,137,1,0,0,1.309,0.39,0.833857103,144.32,134820.9609,358796.3125,109.41,97.7,Peak Found,High,Not Found,Peak Found,Peak Found,Not Found,1,
FALSE,High,Master Protein,AAC41707.1,Monocarboxylate transporter 1 [OS=Homo sapiens],0,10.594,4,1,8,1,500,54,8.66,2729,1,0,0,1.308,0.39,0.829633943,45.58,121293.0674,158672.5484,39.67,20.76,High,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,AAA36534.1,Prolyl 4-hydroxylase alpha subunit [OS=Homo sapiens],0,15.324,8,3,7,3,534,60.8,6.01,2638,3,0,0,1.307,0.39,0.607500578,140.85,3677807.564,3533523.791,16.22,16.97,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,NP_001333158.1,lisH domain and HEAT repeat-containing protein KIAA1468 isoform a [OS=Homo sapiens],0,9.199,2,2,3,2,1250,138.7,5.53,1101,2,0,0,1.307,0.39,0.788087856,57.42,794575.8106,1031680.873,74.36,12.31,Peak Found,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_016884904.1,PREDICTED: G patch domain and KOW motifs-containing protein isoform X1 [OS=Homo sapiens],0,18.945,14,3,7,3,491,53.9,6.9,1910,3,0,0,1.306,0.39,0.548232526,44.56,4045616.715,5300844.747,64.3,13.09,Peak Found,High,High,High,High,Peak Found,1,
FALSE,High,Master Protein,AAF14870.1,vacuolar ATPase isoform VA68 [OS=Homo sapiens],0,123.312,38,15,110,15,617,68.2,5.52,41283,15,0,0,1.306,0.38,0.161175553,92.73,23060587.76,33185110.91,45.52,14.36,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAO25962.1,HPS5 protein [OS=Homo sapiens],0.002,2.662,1,1,3,1,1015,114.8,5.39,802,1,0,0,1.303,0.38,0.828690618,65.14,415430.6179,538459.5415,78.62,32.21,Not Found,Peak Found,High,High,High,Peak Found,1,
FALSE,High,Master Protein,AAK14922.1,HPHase [OS=Homo sapiens],0,8.146,10,2,11,2,363,40,7.01,2637,2,0,0,1.303,0.38,0.587311834,54.11,4455401.789,4318986.637,24.38,33.35,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P49454.2,RecName: Full=Centromere protein F; Short=CENP-F; AltName: Full=AH antigen; AltName: Full=Kinetochore protein CENPF; AltName: Full=Mitosin; Flags: Precursor [OS=Homo sapiens],0,11.522,1,3,3,3,3210,367.5,5.07,899,3,0,0,1.303,0.38,0.825586163,70.4,374375.0826,367160.1517,86.93,118.95,High,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAA61209.1,DNA topoisomerase II [OS=Homo sapiens],0,62.983,15,15,42,12,1531,174.3,8.72,12588,15,0,3,1.303,0.38,0.184549193,84.89,13765965.73,19633256.46,28.9,24.78,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAB47807.1,WD protein IR10 [OS=Homo sapiens],0.003,2.421,2,1,2,1,525,59.6,7.9,399,1,0,0,1.302,0.38,0.828690618,46.72,404740.9775,527027.625,74.42,0.52,Not Found,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_114405.1,STARD3 N-terminal-like protein [OS=Homo sapiens],0.001,2.98,4,1,1,1,234,26.6,4.81,320,1,0,0,1.301,0.38,0.825586163,35.25,153938.9421,200332.8254,60.03,50.72,Not Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_060640.2,regulation of nuclear pre-mRNA domain-containing protein 1A isoform 1 [OS=Homo sapiens],0,7.2,15,2,3,1,312,35.7,7.55,571,2,0,0,1.301,0.38,0.822106312,60.94,608077.7068,791295.8775,92.19,20.7,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH37283.1,"Zinc metallopeptidase (STE24 homolog, S. cerevisiae) [OS=Homo sapiens]",0,32.689,10,4,28,4,475,54.7,7.49,11371,4,0,0,1.301,0.38,0.484557259,58.76,4855744.546,6422806.711,24.15,17.6,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH31055.2,"HDAC2 protein, partial [OS=Homo sapiens]",0,26.21,12,4,27,2,571,64.2,6.86,9901,4,0,2,1.3,0.38,0.375552163,63.37,8716099.974,9440058.342,7.96,10.83,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_056461.1,ras-related protein Rap-1b isoform 1 precursor [OS=Homo sapiens],0,45.751,45,6,88,6,184,20.8,5.78,43380,6,0,0,1.3,0.38,0.173844628,105.29,24892508.11,30120889.36,56.16,14.92,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAX06732.1,"transmembrane protein 48, isoform CRA_b [OS=Homo sapiens]",0.001,3.395,2,1,1,1,776,87.8,9.55,268,1,0,0,1.3,0.38,0.848875364,74.08,135012.1945,113006.7687,64.84,38.77,Not Found,Peak Found,Peak Found,Not Found,Peak Found,High,1,
FALSE,High,Master Protein,NP_002085.2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [OS=Homo sapiens],0,52.82,13,5,46,5,637,68.6,5.33,19198,5,0,0,1.298,0.38,0.244930508,78.4,11918397.81,14637819.36,44.66,29.61,High,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_011515231.1,PREDICTED: poly(U)-binding-splicing factor PUF60 isoform X1 [OS=Homo sapiens],0,109.665,43,13,104,13,596,64,5.45,40831,13,0,0,1.298,0.38,0.176110463,69.55,40541682.85,50017829.88,27.28,12.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH06372.1,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast) [OS=Homo sapiens]",0,30.358,18,3,41,1,376,42.2,6.4,18794,3,0,0,1.297,0.38,0.67879472,56.85,1578610.932,2047586.806,59.28,11.46,Peak Found,High,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,CAI45968.1,Hypothetical protein [OS=Homo sapiens],0,21.963,9,5,11,5,599,64.5,8.03,3335,5,0,0,1.296,0.37,0.521036118,41.59,4484287.932,5732748.233,29.17,17.17,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,AAF29085.1,HSPC121 [OS=Homo sapiens],0,16.006,8,2,19,2,373,44.4,9.13,4801,2,0,0,1.294,0.37,0.382928821,58.74,9045689.147,7881099.25,54.19,32.76,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAH00952.1,TRNA methyltransferase 61 homolog B (S. cerevisiae) [OS=Homo sapiens],0,3.983,3,1,3,1,477,52.9,6.62,1343,1,0,0,1.294,0.37,0.859985902,47.04,105593.6999,136640.9539,45.03,24.63,Peak Found,High,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,EAX03011.1,"catechol-O-methyltransferase, isoform CRA_b [OS=Homo sapiens]",0,12.505,12,2,8,2,309,34.2,5.64,2277,2,0,0,1.294,0.37,0.692483859,46.29,1639898.266,2425305.491,46.51,17.85,High,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,BAH13545.1,unnamed protein product [OS=Homo sapiens],0,346.197,70,20,432,7,389,41.4,7.33,195518,20,0,17,1.294,0.37,0.176110463,81.23,504789503.7,576636858.2,14.39,9.26,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_002931.2,ATP-binding cassette sub-family E member 1 [OS=Homo sapiens],0,70.713,26,10,46,10,599,67.3,8.34,15285,10,0,0,1.293,0.37,0.331077313,80.09,8869917.458,10525429.97,23.01,10.58,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q9UKV3.2,RecName: Full=Apoptotic chromatin condensation inducer in the nucleus; Short=Acinus [OS=Homo sapiens],0,74.159,17,13,49,13,1341,151.8,6.43,18630,13,0,0,1.292,0.37,0.190368237,90.08,14712462.03,19690402.41,8.41,32.74,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW71655.1,"DNA fragmentation factor, 45kDa, alpha polypeptide, isoform CRA_a [OS=Homo sapiens]",0,26.668,18,4,16,4,371,40.6,5.06,6663,4,0,0,1.292,0.37,0.629472746,98.28,3095021.052,4253106.158,18.94,25.37,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q13505.2,RecName: Full=Metaxin-1; AltName: Full=Mitochondrial outer membrane import complex protein 1 [OS=Homo sapiens],0,21.906,11,4,22,4,466,51.4,9.79,8548,4,0,0,1.291,0.37,0.658797446,66.82,2618901.164,2537993.244,52.52,8.08,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAI36510.1,"TBC1 domain family, member 13 [OS=Homo sapiens]",0,12.838,7,2,5,2,400,46.5,5.24,1706,2,0,0,1.29,0.37,0.693218746,103.34,1664388.275,3273446.957,60.62,59.22,Peak Found,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,AAC50931.1,vacuolar protein sorting homolog h-vps45 [OS=Homo sapiens],0,18,6,3,11,3,570,64.9,8.09,4177,3,0,0,1.29,0.37,0.687995353,78.2,1558912.852,2071822.242,71.93,31.34,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,BAG59232.1,unnamed protein product [OS=Homo sapiens],0,4.282,9,1,3,1,375,41.6,9.58,831,1,0,0,1.289,0.37,0.804807142,96.33,735247.6313,903998.5647,98.53,59.76,Not Found,Peak Found,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,XP_005245072.1,PREDICTED: protein PRRC2C isoform X1 [OS=Homo sapiens],0,12.002,2,3,13,3,2903,317.5,9.13,5499,3,0,0,1.289,0.37,0.835438062,62.54,410702.067,735326.9732,101.16,28.55,Peak Found,High,High,High,High,High,1,
